gene;sample;mutated;label;year
CMY;120;0;β-lactamases;2017
CTX-M;120;0;β-lactamases;2017
DHA;120;0;β-lactamases;2017
FOX;120;0;β-lactamases;2017
GES;120;0;β-lactamases;2017
IMP;120;0;β-lactamases;2017
LAP;120;0;β-lactamases;2017
OXA;120;0;β-lactamases;2017
PSE;120;0;β-lactamases;2017
SHV;120;0;β-lactamases;2017
TEM;120;0;β-lactamases;2017
VEB;120;0;β-lactamases;2017
umuC/D;120;2;features;2017
Plasmid-segregation;120;2;features;2017
Toxin-antitoxin;120;2;features;2017
psiA/B;120;2;features;2017
Transposon;120;2;features;2017
Mercuric Res.;120;0;features;2017
Copper Res.;120;0;features;2017
Arsenic Res.;120;0;features;2017
IncA/C;120;0;inc-group;2017
IncA/C2;120;0;inc-group;2017
IncFIA;120;0;inc-group;2017
IncFIB;120;0;inc-group;2017
IncFIC;120;0;inc-group;2017
IncFII;120;0;inc-group;2017
IncHI1A;120;0;inc-group;2017
IncHI1B;120;0;inc-group;2017
IncHI2;120;0;inc-group;2017
IncL/M;120;0;inc-group;2017
IncN;120;3;inc-group;2017
IncN2;120;0;inc-group;2017
IncN3;120;0;inc-group;2017
IncP;120;0;inc-group;2017
IncQ1;120;0;inc-group;2017
IncU;120;0;inc-group;2017
IncX3;120;0;inc-group;2017
IncY;120;0;inc-group;2017
Acinetobacter;120;0;organism;2017
Aeromonas;120;0;organism;2017
Citrobacter;120;0;organism;2017
Enterobacter;120;0;organism;2017
Escherichia;120;0;organism;2017
Klebsiella;120;4;organism;2017
Leclercia;120;0;organism;2017
Morganella;120;0;organism;2017
Pantoea;120;0;organism;2017
Proteus;120;0;organism;2017
Pseudomonas;120;0;organism;2017
Raoultella;120;0;organism;2017
Salmonella;120;0;organism;2017
Serratia;120;0;organism;2017
CMY;7;0;β-lactamases;2006
CTX-M;7;1;β-lactamases;2006
DHA;7;0;β-lactamases;2006
FOX;7;0;β-lactamases;2006
GES;7;0;β-lactamases;2006
IMP;7;0;β-lactamases;2006
LAP;7;0;β-lactamases;2006
OXA;7;0;β-lactamases;2006
PSE;7;0;β-lactamases;2006
SHV;7;0;β-lactamases;2006
TEM;7;1;β-lactamases;2006
VEB;7;1;β-lactamases;2006
umuC/D;7;2;features;2006
Plasmid-segregation;7;2;features;2006
Toxin-antitoxin;7;2;features;2006
psiA/B;7;2;features;2006
Transposon;7;2;features;2006
Mercuric Res.;7;2;features;2006
Copper Res.;7;2;features;2006
Arsenic Res.;7;2;features;2006
IncA/C;7;0;inc-group;2006
IncA/C2;7;0;inc-group;2006
IncFIA;7;0;inc-group;2006
IncFIB;7;3;inc-group;2006
IncFIC;7;0;inc-group;2006
IncFII;7;0;inc-group;2006
IncHI1A;7;0;inc-group;2006
IncHI1B;7;0;inc-group;2006
IncHI2;7;0;inc-group;2006
IncL/M;7;0;inc-group;2006
IncN;7;0;inc-group;2006
IncN2;7;0;inc-group;2006
IncN3;7;0;inc-group;2006
IncP;7;0;inc-group;2006
IncQ1;7;0;inc-group;2006
IncU;7;0;inc-group;2006
IncX3;7;0;inc-group;2006
IncY;7;0;inc-group;2006
Acinetobacter;7;0;organism;2006
Aeromonas;7;0;organism;2006
Citrobacter;7;4;organism;2006
Enterobacter;7;4;organism;2006
Escherichia;7;4;organism;2006
Klebsiella;7;4;organism;2006
Leclercia;7;0;organism;2006
Morganella;7;0;organism;2006
Pantoea;7;0;organism;2006
Proteus;7;0;organism;2006
Pseudomonas;7;0;organism;2006
Raoultella;7;0;organism;2006
Salmonella;7;0;organism;2006
Serratia;7;0;organism;2006
CMY;24;0;β-lactamases;2012
CTX-M;24;0;β-lactamases;2012
DHA;24;0;β-lactamases;2012
FOX;24;0;β-lactamases;2012
GES;24;0;β-lactamases;2012
IMP;24;0;β-lactamases;2012
LAP;24;0;β-lactamases;2012
OXA;24;1;β-lactamases;2012
PSE;24;0;β-lactamases;2012
SHV;24;0;β-lactamases;2012
TEM;24;1;β-lactamases;2012
VEB;24;0;β-lactamases;2012
umuC/D;24;2;features;2012
Plasmid-segregation;24;2;features;2012
Toxin-antitoxin;24;2;features;2012
psiA/B;24;2;features;2012
Transposon;24;2;features;2012
