gene;sample;mutated;label
blaCMY;120;0;beta-lactamase
blaCTX-M;120;0;beta-lactamase
blaDHA;120;0;beta-lactamase
blaFOX;120;0;beta-lactamase
blaGES;120;0;beta-lactamase
blaIMP;120;0;beta-lactamase
blaLAP;120;0;beta-lactamase
blaOXA;120;0;beta-lactamase
blaPSE;120;0;beta-lactamase
blaSHV;120;0;beta-lactamase
blaTEM;120;0;beta-lactamase
blaVEB;120;0;beta-lactamase
parA/B/M;120;2;plasmid-stability
stbA/B/C;120;0;plasmid-stability
vagC/D;120;0;plasmid-stability
psiA/B;120;2;plasmid-stability
IncA/C;120;0;inc-group
IncA/C2;120;0;inc-group
IncFIA;120;0;inc-group
IncFIB;120;0;inc-group
IncFIC;120;0;inc-group
IncFII;120;0;inc-group
IncHI1A;120;0;inc-group
IncHI1B;120;0;inc-group
IncHI2;120;0;inc-group
IncI1;120;0;inc-group
IncI2;120;0;inc-group
IncL/M;120;0;inc-group
IncN;120;3;inc-group
IncN2;120;0;inc-group
IncN3;120;0;inc-group
IncP;120;0;inc-group
IncQ1;120;0;inc-group
IncQ2;120;0;inc-group
IncR;120;0;inc-group
IncU;120;0;inc-group
IncX3;120;0;inc-group
IncY;120;0;inc-group
Acinetobacter;120;0;organism
Aeromonas;120;0;organism
Citrobacter;120;0;organism
Enterobacter;120;0;organism
Escherichia;120;0;organism
Klebsiella;120;4;organism
Leclercia;120;0;organism
Morganella;120;0;organism
Pantoea;120;0;organism
Proteus;120;0;organism
Pseudomonas;120;0;organism
Raoultella;120;0;organism
Salmonella;120;0;organism
Serratia;120;0;organism
blaCMY;7;0;beta-lactamase
blaCTX-M;7;1;beta-lactamase
blaDHA;7;0;beta-lactamase
blaFOX;7;0;beta-lactamase
blaGES;7;0;beta-lactamase
blaIMP;7;0;beta-lactamase
blaLAP;7;0;beta-lactamase
blaOXA;7;0;beta-lactamase
blaPSE;7;0;beta-lactamase
blaSHV;7;0;beta-lactamase
blaTEM;7;1;beta-lactamase
blaVEB;7;1;beta-lactamase
parA/B/M;7;0;plasmid-stability
stbA/B/C;7;0;plasmid-stability
vagC/D;7;0;plasmid-stability
psiA/B;7;0;plasmid-stability
IncA/C;7;0;inc-group
IncA/C2;7;0;inc-group
IncFIA;7;0;inc-group
IncFIB;7;3;inc-group
IncFIC;7;0;inc-group
IncFII;7;0;inc-group
IncHI1A;7;0;inc-group
IncHI1B;7;0;inc-group
IncHI2;7;0;inc-group
IncI1;7;0;inc-group
IncI2;7;0;inc-group
IncL/M;7;0;inc-group
IncN;7;0;inc-group
IncN2;7;0;inc-group
IncN3;7;0;inc-group
IncP;7;0;inc-group
IncQ1;7;0;inc-group
IncQ2;7;0;inc-group
IncR;7;0;inc-group
IncU;7;0;inc-group
IncX3;7;0;inc-group
IncY;7;0;inc-group
Acinetobacter;7;0;organism
Aeromonas;7;0;organism
Citrobacter;7;4;organism
Enterobacter;7;4;organism
Escherichia;7;4;organism
Klebsiella;7;4;organism
Leclercia;7;0;organism
Morganella;7;0;organism
Pantoea;7;0;organism
Proteus;7;0;organism
Pseudomonas;7;0;organism
Raoultella;7;0;organism
Salmonella;7;0;organism
Serratia;7;0;organism
blaCMY;24;0;beta-lactamase
blaCTX-M;24;0;beta-lactamase
blaDHA;24;0;beta-lactamase
blaFOX;24;0;beta-lactamase
blaGES;24;0;beta-lactamase
blaIMP;24;0;beta-lactamase
blaLAP;24;0;beta-lactamase
blaOXA;24;1;beta-lactamase
blaPSE;24;0;beta-lactamase
blaSHV;24;0;beta-lactamase
blaTEM;24;1;beta-lactamase
blaVEB;24;0;beta-lactamase
parA/B/M;24;0;plasmid-stability
stbA/B/C;24;0;plasmid-stability
vagC/D;24;0;plasmid-stability
psiA/B;24;2;plasmid-stability
IncA/C;24;0;inc-group
IncA/C2;24;0;inc-group
IncFIA;24;0;inc-group
IncFIB;24;0;inc-group
IncFIC;24;0;inc-group
IncFII;24;0;inc-group
IncHI1A;24;0;inc-group
IncHI1B;24;0;inc-group
IncHI2;24;0;inc-group
IncI1;24;0;inc-group
IncI2;24;0;inc-group
IncL/M;24;0;inc-group
IncN;24;0;inc-group
IncN2;24;0;inc-group
IncN3;24;0;inc-group
IncP;24;0;inc-group
IncQ1;24;0;inc-group
IncQ2;24;0;inc-group
IncR;24;0;inc-group
IncU;24;0;inc-group
IncX3;24;0;inc-group
IncY;24;0;inc-group
Acinetobacter;24;0;organism
Aeromonas;24;0;organism
Citrobacter;24;0;organism
Enterobacter;24;0;organism
Escherichia;24;0;organism
Klebsiella;24;4;organism
Leclercia;24;0;organism
Morganella;24;0;organism
Pantoea;24;0;organism
Proteus;24;0;organism
Pseudomonas;24;0;organism
Raoultella;24;0;organism
Salmonella;24;0;organism
Serratia;24;0;organism
blaCMY;98;0;beta-lactamase
blaCTX-M;98;0;beta-lactamase
blaDHA;98;0;beta-lactamase
blaFOX;98;0;beta-lactamase
blaGES;98;0;beta-lactamase
blaIMP;98;0;beta-lactamase
blaLAP;98;0;beta-lactamase
blaOXA;98;1;beta-lactamase
blaPSE;98;0;beta-lactamase
blaSHV;98;0;beta-lactamase
blaTEM;98;1;beta-lactamase
blaVEB;98;0;beta-lactamase
parA/B/M;98;0;plasmid-stability
stbA/B/C;98;0;plasmid-stability
vagC/D;98;0;plasmid-stability
psiA/B;98;0;plasmid-stability
IncA/C;98;0;inc-group
IncA/C2;98;0;inc-group
IncFIA;98;0;inc-group
IncFIB;98;0;inc-group
IncFIC;98;0;inc-group
IncFII;98;0;inc-group
IncHI1A;98;0;inc-group
IncHI1B;98;0;inc-group
IncHI2;98;0;inc-group
IncI1;98;0;inc-group
IncI2;98;0;inc-group
IncL/M;98;0;inc-group
IncN;98;0;inc-group
IncN2;98;0;inc-group
IncN3;98;0;inc-group
IncP;98;0;inc-group
IncQ1;98;0;inc-group
IncQ2;98;0;inc-group
IncR;98;0;inc-group
