locus_tag	ftype	length_bp	gene	EC_number	COG	product
BOHFCEIC_00001	CDS	1716	xerD_1		COG4974	Tyrosine recombinase XerD
BOHFCEIC_00002	CDS	3030				hypothetical protein
BOHFCEIC_00003	CDS	1026				hypothetical protein
BOHFCEIC_00004	CDS	780				Insertion sequence IS5376 putative ATP-binding protein
BOHFCEIC_00005	CDS	882	bla_1	3.5.2.6		Carbapenem-hydrolyzing beta-lactamase KPC
BOHFCEIC_00006	CDS	1320				hypothetical protein
BOHFCEIC_00007	CDS	696	ltrA_1		COG3344	Group II intron-encoded protein LtrA
BOHFCEIC_00008	CDS	1077				hypothetical protein
BOHFCEIC_00009	CDS	837	frmB	3.1.2.12	COG0627	S-formylglutathione hydrolase FrmB
BOHFCEIC_00010	CDS	399				hypothetical protein
BOHFCEIC_00011	CDS	981	frmA	1.1.1.284	COG1062	S-(hydroxymethyl)glutathione dehydrogenase
BOHFCEIC_00012	CDS	1320				hypothetical protein
BOHFCEIC_00013	CDS	882	bla_2	3.5.2.6		Carbapenem-hydrolyzing beta-lactamase KPC
BOHFCEIC_00014	CDS	780				Insertion sequence IS5376 putative ATP-binding protein
BOHFCEIC_00015	CDS	1026				hypothetical protein
BOHFCEIC_00016	CDS	3030				hypothetical protein
BOHFCEIC_00017	CDS	1716	xerD_2		COG4974	Tyrosine recombinase XerD
BOHFCEIC_00018	CDS	762	ltrA_2		COG3344	Group II intron-encoded protein LtrA
BOHFCEIC_00019	CDS	426				hypothetical protein
BOHFCEIC_00020	CDS	2652	uvrA		COG0178	UvrABC system protein A
BOHFCEIC_00021	CDS	303				hypothetical protein
BOHFCEIC_00022	CDS	720	repE			Replication initiation protein
BOHFCEIC_00023	CDS	342				hypothetical protein
BOHFCEIC_00024	CDS	792				hypothetical protein
BOHFCEIC_00025	CDS	1266	umuC		COG0389	Protein UmuC
BOHFCEIC_00026	CDS	441	umuD	3.4.21.-	COG1974	Protein UmuD
BOHFCEIC_00027	CDS	426	klcA			Antirestriction protein KlcA
BOHFCEIC_00028	CDS	405				hypothetical protein
BOHFCEIC_00029	CDS	240				hypothetical protein
BOHFCEIC_00030	CDS	156				hypothetical protein
BOHFCEIC_00031	CDS	549				hypothetical protein
BOHFCEIC_00032	CDS	297				hypothetical protein
BOHFCEIC_00033	CDS	360				hypothetical protein
BOHFCEIC_00034	CDS	285				hypothetical protein
BOHFCEIC_00035	CDS	333				hypothetical protein
BOHFCEIC_00036	CDS	108				hypothetical protein
BOHFCEIC_00037	CDS	510				hypothetical protein
BOHFCEIC_00038	CDS	180				hypothetical protein
BOHFCEIC_00039	CDS	345				hypothetical protein
BOHFCEIC_00040	CDS	369				hypothetical protein
BOHFCEIC_00041	CDS	717				hypothetical protein
BOHFCEIC_00042	CDS	387				hypothetical protein
BOHFCEIC_00043	CDS	417				hypothetical protein
BOHFCEIC_00044	CDS	1530	traD			Coupling protein TraD
BOHFCEIC_00045	CDS	3237	traI			Multifunctional conjugation protein TraI
BOHFCEIC_00046	CDS	399				hypothetical protein
BOHFCEIC_00047	CDS	291				hypothetical protein
BOHFCEIC_00048	CDS	402				hypothetical protein
BOHFCEIC_00049	CDS	357				hypothetical protein
BOHFCEIC_00050	CDS	315				hypothetical protein
BOHFCEIC_00051	CDS	534	pld	3.1.4.4		Phospholipase D
BOHFCEIC_00052	CDS	996			COG0630	Type IV secretion system protein VirB11
BOHFCEIC_00053	CDS	1161				Protein virB10
BOHFCEIC_00054	CDS	885	virB9			Type IV secretion system protein virB9
BOHFCEIC_00055	CDS	699	virB8			Type IV secretion system protein virB8
BOHFCEIC_00056	CDS	1041	virB6			Type IV secretion system protein VirB6
BOHFCEIC_00057	CDS	228				hypothetical protein
BOHFCEIC_00058	CDS	714	virB5			Type IV secretion system protein virB5
BOHFCEIC_00059	CDS	2601	virB4			Type IV secretion system protein virB4
BOHFCEIC_00060	CDS	318				hypothetical protein
BOHFCEIC_00061	CDS	294				hypothetical protein
BOHFCEIC_00062	CDS	282				hypothetical protein
BOHFCEIC_00063	CDS	738	virB1			Type IV secretion system protein virB1
BOHFCEIC_00064	CDS	306	hvrA			Trans-acting regulatory protein HvrA
BOHFCEIC_00065	CDS	345				hypothetical protein
BOHFCEIC_00066	CDS	315				hypothetical protein
BOHFCEIC_00067	CDS	312				hypothetical protein
BOHFCEIC_00068	CDS	642				hypothetical protein
BOHFCEIC_00069	CDS	207				hypothetical protein
BOHFCEIC_00070	CDS	267				hypothetical protein
BOHFCEIC_00071	CDS	1434	dcm	2.1.1.37	COG0270	DNA-cytosine methyltransferase
BOHFCEIC_00072	CDS	1209	ecoRIIR	3.1.21.4		Type-2 restriction enzyme EcoRII
