locus_tag	ftype	length_bp	gene	EC_number	COG	product
GCHGDINM_00001	CDS	867				hypothetical protein
GCHGDINM_00002	CDS	1530				hypothetical protein
GCHGDINM_00003	CDS	705				hypothetical protein
GCHGDINM_00004	CDS	402	tnpR			Transposon Tn3 resolvase
GCHGDINM_00005	CDS	414				hypothetical protein
GCHGDINM_00006	CDS	375				hypothetical protein
GCHGDINM_00007	CDS	114				hypothetical protein
GCHGDINM_00008	CDS	882	bla_1	3.5.2.6		Carbapenem-hydrolyzing beta-lactamase KPC
GCHGDINM_00009	CDS	225				hypothetical protein
GCHGDINM_00010	CDS	981				hypothetical protein
GCHGDINM_00011	CDS	297				hypothetical protein
GCHGDINM_00012	CDS	156				hypothetical protein
GCHGDINM_00013	CDS	423	klcA_1			Antirestriction protein KlcA
GCHGDINM_00014	CDS	279				hypothetical protein
GCHGDINM_00015	CDS	561				hypothetical protein
GCHGDINM_00016	CDS	705				hypothetical protein
GCHGDINM_00017	CDS	906				hypothetical protein
GCHGDINM_00018	CDS	1239				putative multidrug-efflux transporter
GCHGDINM_00019	CDS	585				hypothetical protein
GCHGDINM_00020	CDS	822				hypothetical protein
GCHGDINM_00021	CDS	306				hypothetical protein
GCHGDINM_00022	CDS	1206	srpC		COG2059	putative chromate transport protein
GCHGDINM_00023	CDS	1005				hypothetical protein
GCHGDINM_00024	CDS	840	folP	2.5.1.15	COG0294	Dihydropteroate synthase
GCHGDINM_00025	CDS	348	emrE		COG2076	Multidrug transporter EmrE
GCHGDINM_00026	CDS	453				hypothetical protein
GCHGDINM_00027	CDS	633	cat	2.3.1.28	COG0110	Chloramphenicol acetyltransferase
GCHGDINM_00028	CDS	876	bla_2	3.5.2.6		Beta-lactamase OXA-1
GCHGDINM_00029	CDS	600	aacA4	2.3.1.82		Aminoglycoside N(6')-acetyltransferase type 1
GCHGDINM_00030	CDS	699	xerD_1		COG4974	Tyrosine recombinase XerD
GCHGDINM_00031	CDS	573				hypothetical protein
GCHGDINM_00032	CDS	705				hypothetical protein
GCHGDINM_00033	CDS	417	fosA	2.5.1.18		Glutathione transferase FosA
GCHGDINM_00034	CDS	519				hypothetical protein
GCHGDINM_00035	CDS	789				hypothetical protein
GCHGDINM_00036	CDS	351				hypothetical protein
GCHGDINM_00037	CDS	705				hypothetical protein
GCHGDINM_00038	CDS	1026	fiu		COG4774	Catecholate siderophore receptor Fiu
GCHGDINM_00039	CDS	969				hypothetical protein
GCHGDINM_00040	CDS	876	bla_3	3.5.2.6		Beta-lactamase CTX-M-97
GCHGDINM_00041	CDS	123				hypothetical protein
GCHGDINM_00042	CDS	1263				hypothetical protein
GCHGDINM_00043	CDS	1032	mcpQ		COG0840	Methyl-accepting chemotaxis protein McpQ
GCHGDINM_00044	CDS	285				hypothetical protein
GCHGDINM_00045	CDS	474	nucH	3.1.31.1		Thermonuclease
GCHGDINM_00046	CDS	681				hypothetical protein
GCHGDINM_00047	CDS	1254				hypothetical protein
GCHGDINM_00048	CDS	261				hypothetical protein
GCHGDINM_00049	CDS	270				hypothetical protein
GCHGDINM_00050	CDS	387				hypothetical protein
GCHGDINM_00051	CDS	534				hypothetical protein
GCHGDINM_00052	CDS	765	xerD_2		COG4974	Tyrosine recombinase XerD
GCHGDINM_00053	CDS	285				hypothetical protein
GCHGDINM_00054	CDS	654	soj	3.6.-.-	COG1192	Chromosome-partitioning ATPase Soj
GCHGDINM_00055	CDS	972	parM			Plasmid segregation protein ParM
GCHGDINM_00056	CDS	390	stbB			Protein StbB
GCHGDINM_00057	CDS	1272	umuC		COG0389	Protein UmuC
GCHGDINM_00058	CDS	429	umuD	3.4.21.-	COG1974	Protein UmuD
GCHGDINM_00059	CDS	744				hypothetical protein
GCHGDINM_00060	CDS	462				hypothetical protein
GCHGDINM_00061	CDS	339				hypothetical protein
GCHGDINM_00062	CDS	780				hypothetical protein
GCHGDINM_00063	CDS	339				hypothetical protein
GCHGDINM_00064	CDS	510				hypothetical protein
