locus_tag	ftype	length_bp	gene	EC_number	COG	product
HJLGDBPB_00001	CDS	180				hypothetical protein
HJLGDBPB_00002	CDS	345				hypothetical protein
HJLGDBPB_00003	CDS	369				hypothetical protein
HJLGDBPB_00004	CDS	717				hypothetical protein
HJLGDBPB_00005	CDS	387				hypothetical protein
HJLGDBPB_00006	CDS	417				hypothetical protein
HJLGDBPB_00007	CDS	1530	traD			Coupling protein TraD
HJLGDBPB_00008	CDS	3237	traI			Multifunctional conjugation protein TraI
HJLGDBPB_00009	CDS	399				hypothetical protein
HJLGDBPB_00010	CDS	291				hypothetical protein
HJLGDBPB_00011	CDS	402				hypothetical protein
HJLGDBPB_00012	CDS	357				hypothetical protein
HJLGDBPB_00013	CDS	315				hypothetical protein
HJLGDBPB_00014	CDS	372	pld	3.1.4.4		Phospholipase D
HJLGDBPB_00015	CDS	1716	xerD		COG4974	Tyrosine recombinase XerD
HJLGDBPB_00016	CDS	3030				hypothetical protein
HJLGDBPB_00017	CDS	1026				hypothetical protein
HJLGDBPB_00018	CDS	780				Insertion sequence IS5376 putative ATP-binding protein
HJLGDBPB_00019	CDS	882	bla	3.5.2.6		Carbapenem-hydrolyzing beta-lactamase KPC
HJLGDBPB_00020	CDS	1320				hypothetical protein
HJLGDBPB_00021	CDS	180				hypothetical protein
HJLGDBPB_00022	CDS	996			COG0630	Type IV secretion system protein VirB11
HJLGDBPB_00023	CDS	1161				Protein virB10
HJLGDBPB_00024	CDS	885	virB9			Type IV secretion system protein virB9
HJLGDBPB_00025	CDS	699	virB8			Type IV secretion system protein virB8
HJLGDBPB_00026	CDS	1041	virB6			Type IV secretion system protein VirB6
HJLGDBPB_00027	CDS	228				hypothetical protein
HJLGDBPB_00028	CDS	714	virB5			Type IV secretion system protein virB5
HJLGDBPB_00029	CDS	2601	virB4			Type IV secretion system protein virB4
HJLGDBPB_00030	CDS	318				hypothetical protein
HJLGDBPB_00031	CDS	294				hypothetical protein
HJLGDBPB_00032	CDS	282				hypothetical protein
HJLGDBPB_00033	CDS	738	virB1			Type IV secretion system protein virB1
HJLGDBPB_00034	CDS	306	hvrA			Trans-acting regulatory protein HvrA
HJLGDBPB_00035	CDS	345				hypothetical protein
HJLGDBPB_00036	CDS	315				hypothetical protein
HJLGDBPB_00037	CDS	312				hypothetical protein
HJLGDBPB_00038	CDS	480				hypothetical protein
