locus_tag	ftype	length_bp	gene	EC_number	COG	product
KNEELEAI_00001	CDS	633	cat_1	2.3.1.28	COG0110	Chloramphenicol acetyltransferase
KNEELEAI_00002	CDS	876	bla_1	3.5.2.6		Beta-lactamase OXA-1
KNEELEAI_00003	CDS	600	aacA4	2.3.1.82		Aminoglycoside N(6')-acetyltransferase type 1
KNEELEAI_00004	CDS	867	xerD_1		COG4974	Tyrosine recombinase XerD
KNEELEAI_00005	CDS	705				hypothetical protein
KNEELEAI_00006	CDS	861	yokD	2.3.1.-	COG2746	SPBc2 prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD
KNEELEAI_00007	CDS	543	tmrB			Tunicamycin resistance protein
KNEELEAI_00008	CDS	192				hypothetical protein
KNEELEAI_00009	CDS	246				hypothetical protein
KNEELEAI_00010	CDS	1137				hypothetical protein
KNEELEAI_00011	CDS	1371				hypothetical protein
KNEELEAI_00012	CDS	861	bla_2	3.5.2.6		Beta-lactamase TEM
KNEELEAI_00013	CDS	882	bla_3	3.5.2.6		Carbapenem-hydrolyzing beta-lactamase KPC
KNEELEAI_00014	CDS	1320				hypothetical protein
KNEELEAI_00015	CDS	180				hypothetical protein
KNEELEAI_00016	CDS	996			COG0630	Type IV secretion system protein VirB11
KNEELEAI_00017	CDS	1161				Protein virB10
KNEELEAI_00018	CDS	885	virB9			Type IV secretion system protein virB9
KNEELEAI_00019	CDS	699	virB8			Type IV secretion system protein virB8
KNEELEAI_00020	CDS	1041	virB6			Type IV secretion system protein VirB6
KNEELEAI_00021	CDS	228				hypothetical protein
KNEELEAI_00022	CDS	714	virB5			Type IV secretion system protein virB5
KNEELEAI_00023	CDS	2601	virB4			Type IV secretion system protein virB4
KNEELEAI_00024	CDS	318				hypothetical protein
KNEELEAI_00025	CDS	294				hypothetical protein
KNEELEAI_00026	CDS	282				hypothetical protein
KNEELEAI_00027	CDS	738	virB1			Type IV secretion system protein virB1
KNEELEAI_00028	CDS	306	hvrA			Trans-acting regulatory protein HvrA
KNEELEAI_00029	CDS	345				hypothetical protein
KNEELEAI_00030	CDS	315				hypothetical protein
KNEELEAI_00031	CDS	312				hypothetical protein
KNEELEAI_00032	CDS	261				hypothetical protein
KNEELEAI_00033	CDS	969				hypothetical protein
KNEELEAI_00034	CDS	255				hypothetical protein
KNEELEAI_00035	CDS	207				hypothetical protein
KNEELEAI_00036	CDS	267				hypothetical protein
KNEELEAI_00037	CDS	1407	dcm	2.1.1.37	COG0270	DNA-cytosine methyltransferase
KNEELEAI_00038	CDS	705				hypothetical protein
KNEELEAI_00039	CDS	225				hypothetical protein
KNEELEAI_00040	CDS	858				hypothetical protein
KNEELEAI_00041	CDS	261				hypothetical protein
KNEELEAI_00042	CDS	591				hypothetical protein
KNEELEAI_00043	CDS	210	hha			Hemolysin expression-modulating protein Hha
KNEELEAI_00044	CDS	462	nuc	3.1.31.1		Thermonuclease
KNEELEAI_00045	CDS	213				hypothetical protein
KNEELEAI_00046	CDS	561	finO			Fertility inhibition protein
KNEELEAI_00047	CDS	861	ycjY_1		COG1073	putative protein YcjY
KNEELEAI_00048	CDS	747				hypothetical protein
KNEELEAI_00049	CDS	5271	traI			Multifunctional conjugation protein TraI
KNEELEAI_00050	CDS	2199	traD			Coupling protein TraD
KNEELEAI_00051	CDS	777	ylpA			Lipoprotein YlpA
KNEELEAI_00052	CDS	492				hypothetical protein
KNEELEAI_00053	CDS	2820				hypothetical protein
KNEELEAI_00054	CDS	1374				hypothetical protein
KNEELEAI_00055	CDS	393				hypothetical protein
KNEELEAI_00056	CDS	282				hypothetical protein
KNEELEAI_00057	CDS	546				hypothetical protein
KNEELEAI_00058	CDS	285	traQ			Protein TraQ
KNEELEAI_00059	CDS	339				hypothetical protein
KNEELEAI_00060	CDS	660				hypothetical protein
KNEELEAI_00061	CDS	1542				hypothetical protein
KNEELEAI_00062	CDS	747				Insertion sequence IS5376 putative ATP-binding protein
KNEELEAI_00063	CDS	342				hypothetical protein
KNEELEAI_00064	CDS	744				hypothetical protein
KNEELEAI_00065	CDS	261				hypothetical protein
KNEELEAI_00066	CDS	1809				hypothetical protein
KNEELEAI_00067	CDS	639				hypothetical protein
KNEELEAI_00068	CDS	306				hypothetical protein
KNEELEAI_00069	CDS	993				hypothetical protein
KNEELEAI_00070	CDS	633				hypothetical protein
KNEELEAI_00071	CDS	387				hypothetical protein
KNEELEAI_00072	CDS	2628	traC			Protein TraC
KNEELEAI_00073	CDS	105				hypothetical protein
KNEELEAI_00074	CDS	222	traR			Protein TraR
KNEELEAI_00075	CDS	516	traV			Protein TraV
KNEELEAI_00076	CDS	252				hypothetical protein
KNEELEAI_00077	CDS	321				hypothetical protein
KNEELEAI_00078	CDS	585				hypothetical protein
KNEELEAI_00079	CDS	1428				hypothetical protein
KNEELEAI_00080	CDS	729				hypothetical protein
KNEELEAI_00081	CDS	567				hypothetical protein
KNEELEAI_00082	CDS	312				hypothetical protein
KNEELEAI_00083	CDS	363	traA			Pilin
KNEELEAI_00084	CDS	228	traY			Relaxosome protein TraY
KNEELEAI_00085	CDS	687	traJ			Protein TraJ
KNEELEAI_00086	CDS	384	traM			Relaxosome protein TraM
KNEELEAI_00087	CDS	639				hypothetical protein
KNEELEAI_00088	CDS	822				hypothetical protein
KNEELEAI_00089	CDS	288				hypothetical protein
KNEELEAI_00090	CDS	234				hypothetical protein
KNEELEAI_00091	CDS	213	flmC			Protein FlmC
KNEELEAI_00092	CDS	138				hypothetical protein
KNEELEAI_00093	CDS	720				hypothetical protein
KNEELEAI_00094	CDS	435	psiB			Protein PsiB
KNEELEAI_00095	CDS	1959	spo0C		COG1475	Chromosome-partitioning protein Spo0J
KNEELEAI_00096	CDS	234				hypothetical protein
KNEELEAI_00097	CDS	528	ssb			Plasmid-derived single-stranded DNA-binding protein
KNEELEAI_00098	CDS	234				hypothetical protein
KNEELEAI_00099	CDS	231				hypothetical protein
KNEELEAI_00100	CDS	564	rsmA	2.1.1.-		Ribosomal RNA small subunit methyltransferase A
KNEELEAI_00101	CDS	1362				hypothetical protein
KNEELEAI_00102	CDS	231				hypothetical protein
KNEELEAI_00103	CDS	258				hypothetical protein
KNEELEAI_00104	CDS	249				hypothetical protein
KNEELEAI_00105	CDS	192				hypothetical protein
KNEELEAI_00106	CDS	423				hypothetical protein
KNEELEAI_00107	CDS	426	klcA			Antirestriction protein KlcA
KNEELEAI_00108	CDS	222				hypothetical protein
KNEELEAI_00109	CDS	828				hypothetical protein
KNEELEAI_00110	CDS	435				hypothetical protein
KNEELEAI_00111	CDS	222				hypothetical protein
KNEELEAI_00112	CDS	684	yhdJ	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ
KNEELEAI_00113	CDS	963	parM			Plasmid segregation protein ParM
KNEELEAI_00114	CDS	354	stbB			Protein StbB
KNEELEAI_00115	CDS	282				hypothetical protein
KNEELEAI_00116	CDS	237				hypothetical protein
KNEELEAI_00117	CDS	378				hypothetical protein
KNEELEAI_00118	CDS	216				hypothetical protein
KNEELEAI_00119	CDS	660	cat_2	2.3.1.28		Chloramphenicol acetyltransferase
KNEELEAI_00120	CDS	705				hypothetical protein
KNEELEAI_00121	CDS	1296				hypothetical protein
KNEELEAI_00122	CDS	705				hypothetical protein
KNEELEAI_00123	CDS	585				hypothetical protein
KNEELEAI_00124	CDS	1239				putative multidrug-efflux transporter
KNEELEAI_00125	CDS	906				hypothetical protein
KNEELEAI_00126	CDS	705				hypothetical protein
KNEELEAI_00127	CDS	459				hypothetical protein
KNEELEAI_00128	CDS	483				hypothetical protein
KNEELEAI_00129	CDS	186				hypothetical protein
KNEELEAI_00130	CDS	423	aggB			Protein AggB
