locus_tag	ftype	length_bp	gene	EC_number	COG	product
DKOCLPHE_00001	CDS	1029				hypothetical protein
DKOCLPHE_00002	CDS	453				hypothetical protein
DKOCLPHE_00003	CDS	525	pld	3.1.4.4		Phospholipase D
DKOCLPHE_00004	CDS	423				hypothetical protein
DKOCLPHE_00005	CDS	384				hypothetical protein
DKOCLPHE_00006	CDS	141				hypothetical protein
DKOCLPHE_00007	CDS	147				hypothetical protein
DKOCLPHE_00008	CDS	303				hypothetical protein
DKOCLPHE_00009	CDS	264				hypothetical protein
DKOCLPHE_00010	CDS	636				hypothetical protein
DKOCLPHE_00011	CDS	561				hypothetical protein
DKOCLPHE_00012	CDS	279				hypothetical protein
DKOCLPHE_00013	CDS	423	klcA			Antirestriction protein KlcA
DKOCLPHE_00014	CDS	156				hypothetical protein
DKOCLPHE_00015	CDS	297				hypothetical protein
DKOCLPHE_00016	CDS	981				hypothetical protein
DKOCLPHE_00017	CDS	882	bla	3.5.2.6		Carbapenem-hydrolyzing beta-lactamase KPC
DKOCLPHE_00018	CDS	375				hypothetical protein
DKOCLPHE_00019	CDS	414				hypothetical protein
DKOCLPHE_00020	CDS	558	tnpR			Transposon Tn3 resolvase
DKOCLPHE_00021	CDS	669				hypothetical protein
DKOCLPHE_00022	CDS	2271				hypothetical protein
DKOCLPHE_00023	CDS	546				hypothetical protein
DKOCLPHE_00024	CDS	573	hin		COG1961	DNA-invertase hin
DKOCLPHE_00025	CDS	1392				hypothetical protein
DKOCLPHE_00026	CDS	189				hypothetical protein
DKOCLPHE_00027	CDS	459	stpA		COG2916	DNA-binding protein StpA
DKOCLPHE_00028	CDS	210	hha			Hemolysin expression-modulating protein Hha
DKOCLPHE_00029	CDS	2145	topB	5.99.1.2	COG0550	DNA topoisomerase 3
DKOCLPHE_00030	CDS	576				hypothetical protein
DKOCLPHE_00031	CDS	1263	yjoB	3.-.-.-	COG0465	putative ATPase YjoB
DKOCLPHE_00032	CDS	225				hypothetical protein
DKOCLPHE_00033	CDS	303				hypothetical protein
DKOCLPHE_00034	CDS	318				hypothetical protein
DKOCLPHE_00035	CDS	396				hypothetical protein
DKOCLPHE_00036	CDS	315				hypothetical protein
DKOCLPHE_00037	CDS	468				hypothetical protein
DKOCLPHE_00038	CDS	1827	virD4			Protein VirD4
DKOCLPHE_00039	CDS	1032				Type IV secretion system protein VirB11
DKOCLPHE_00040	CDS	1290				Protein virB10
DKOCLPHE_00041	CDS	921	virB9			Type IV secretion system protein virB9
DKOCLPHE_00042	CDS	687	ptlE		COG3736	Type IV secretion system protein PtlE
DKOCLPHE_00043	CDS	1059				hypothetical protein
DKOCLPHE_00044	CDS	423				hypothetical protein
DKOCLPHE_00045	CDS	741				hypothetical protein
DKOCLPHE_00046	CDS	2766	virB4			Type IV secretion system protein virB4
DKOCLPHE_00047	CDS	294				hypothetical protein
DKOCLPHE_00048	CDS	630	virB1			Type IV secretion system protein virB1
DKOCLPHE_00049	CDS	198				hypothetical protein
DKOCLPHE_00050	CDS	495	rfaH		COG0250	Transcription antitermination protein RfaH
DKOCLPHE_00051	CDS	393	immR		COG1396	HTH-type transcriptional regulator ImmR
DKOCLPHE_00052	CDS	1170				hypothetical protein
DKOCLPHE_00053	CDS	543				hypothetical protein
DKOCLPHE_00054	CDS	285				hypothetical protein
DKOCLPHE_00055	CDS	297				hypothetical protein
DKOCLPHE_00056	CDS	138				hypothetical protein
DKOCLPHE_00057	CDS	210				hypothetical protein
DKOCLPHE_00058	CDS	213				hypothetical protein
DKOCLPHE_00059	CDS	234				hypothetical protein
DKOCLPHE_00060	CDS	258				hypothetical protein
DKOCLPHE_00061	CDS	543				hypothetical protein
DKOCLPHE_00062	CDS	207				hypothetical protein
DKOCLPHE_00063	CDS	216				hypothetical protein
DKOCLPHE_00064	CDS	522	dnaJ		COG0484	Chaperone protein DnaJ
DKOCLPHE_00065	CDS	222				hypothetical protein
