locus_tag	ftype	length_bp	gene	EC_number	COG	product
HADHGDDJ_00001	CDS	1170				hypothetical protein
HADHGDDJ_00002	CDS	114				hypothetical protein
HADHGDDJ_00003	CDS	273	papB			Major pilu subunit operon regulatory protein PapB
HADHGDDJ_00004	CDS	366				hypothetical protein
HADHGDDJ_00005	CDS	1965	hemR		COG1629	Hemin receptor
HADHGDDJ_00006	CDS	792			COG5266	putative protein
HADHGDDJ_00007	CDS	519				hypothetical protein
HADHGDDJ_00008	CDS	780				Insertion sequence IS5376 putative ATP-binding protein
HADHGDDJ_00009	CDS	1023				hypothetical protein
HADHGDDJ_00010	CDS	1020				hypothetical protein
HADHGDDJ_00011	CDS	330				hypothetical protein
HADHGDDJ_00012	CDS	378				hypothetical protein
HADHGDDJ_00013	CDS	762	xerD_1		COG4974	Tyrosine recombinase XerD
HADHGDDJ_00014	CDS	1536	qacA		COG0477	Antiseptic resistance protein
HADHGDDJ_00015	CDS	432				hypothetical protein
HADHGDDJ_00016	CDS	738				hypothetical protein
HADHGDDJ_00017	CDS	960				hypothetical protein
HADHGDDJ_00018	CDS	378	groL		COG0459	60 kDa chaperonin
HADHGDDJ_00019	CDS	549				hypothetical protein
HADHGDDJ_00020	CDS	756	rmtB	2.1.1.179		16S rRNA (guanine(1405)-N(7))-methyltransferase
HADHGDDJ_00021	CDS	861	bla_1	3.5.2.6		Beta-lactamase TEM
HADHGDDJ_00022	CDS	378				hypothetical protein
HADHGDDJ_00023	CDS	330				hypothetical protein
HADHGDDJ_00024	CDS	861	yokD	2.3.1.-	COG2746	SPBc2 prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD
HADHGDDJ_00025	CDS	969				hypothetical protein
HADHGDDJ_00026	CDS	921				hypothetical protein
HADHGDDJ_00027	CDS	330				hypothetical protein
HADHGDDJ_00028	CDS	855	tmrB			Tunicamycin resistance protein
HADHGDDJ_00029	CDS	192				hypothetical protein
HADHGDDJ_00030	CDS	1137				hypothetical protein
HADHGDDJ_00031	CDS	1047				hypothetical protein
HADHGDDJ_00032	CDS	513				hypothetical protein
HADHGDDJ_00033	CDS	195				hypothetical protein
HADHGDDJ_00034	CDS	705				hypothetical protein
HADHGDDJ_00035	CDS	402	tnpR			Transposon Tn3 resolvase
HADHGDDJ_00036	CDS	414				hypothetical protein
HADHGDDJ_00037	CDS	396				hypothetical protein
HADHGDDJ_00038	CDS	114				hypothetical protein
HADHGDDJ_00039	CDS	882	bla_2	3.5.2.6		Carbapenem-hydrolyzing beta-lactamase KPC
HADHGDDJ_00040	CDS	381				hypothetical protein
HADHGDDJ_00041	CDS	705				hypothetical protein
HADHGDDJ_00042	CDS	540				hypothetical protein
HADHGDDJ_00043	CDS	1395				hypothetical protein
HADHGDDJ_00044	CDS	435				hypothetical protein
HADHGDDJ_00045	CDS	837				hypothetical protein
HADHGDDJ_00046	CDS	1434				hypothetical protein
HADHGDDJ_00047	CDS	357				hypothetical protein
HADHGDDJ_00048	CDS	3720				hypothetical protein
HADHGDDJ_00049	CDS	267				hypothetical protein
HADHGDDJ_00050	CDS	618				hypothetical protein
HADHGDDJ_00051	CDS	318				hypothetical protein
HADHGDDJ_00052	CDS	288				hypothetical protein
HADHGDDJ_00053	CDS	567				hypothetical protein
HADHGDDJ_00054	CDS	1035				hypothetical protein
HADHGDDJ_00055	CDS	471				hypothetical protein
HADHGDDJ_00056	CDS	351				hypothetical protein
HADHGDDJ_00057	CDS	222				hypothetical protein
HADHGDDJ_00058	CDS	1410				hypothetical protein
HADHGDDJ_00059	CDS	801				hypothetical protein
HADHGDDJ_00060	CDS	810				hypothetical protein
HADHGDDJ_00061	CDS	246				hypothetical protein
HADHGDDJ_00062	CDS	627				hypothetical protein
HADHGDDJ_00063	CDS	510				hypothetical protein
HADHGDDJ_00064	CDS	465				hypothetical protein
HADHGDDJ_00065	CDS	732				hypothetical protein
HADHGDDJ_00066	CDS	1590				hypothetical protein
HADHGDDJ_00067	CDS	1140				hypothetical protein
HADHGDDJ_00068	CDS	525				hypothetical protein
HADHGDDJ_00069	CDS	1002	virB		COG1475	Virulence regulon transcriptional activator VirB
HADHGDDJ_00070	CDS	1197	parA			Plasmid partition protein A
HADHGDDJ_00071	CDS	573				hypothetical protein
HADHGDDJ_00072	CDS	861	repA			Replication protein RepA
HADHGDDJ_00073	CDS	402				hypothetical protein
HADHGDDJ_00074	CDS	360				hypothetical protein
HADHGDDJ_00075	CDS	423				hypothetical protein
HADHGDDJ_00076	CDS	789				hypothetical protein
HADHGDDJ_00077	CDS	180				hypothetical protein
HADHGDDJ_00078	CDS	285				hypothetical protein
HADHGDDJ_00079	CDS	906	rdgC		COG2974	Recombination-associated protein RdgC
HADHGDDJ_00080	CDS	2265	dam	2.1.1.72	COG0338	DNA adenine methylase
HADHGDDJ_00081	tRNA	76				tRNA-Asn(gtt)
HADHGDDJ_00082	tRNA	76				tRNA-Thr(tgt)
HADHGDDJ_00083	CDS	237				hypothetical protein
HADHGDDJ_00084	CDS	828				hypothetical protein
HADHGDDJ_00085	tRNA	76				tRNA-Met(cat)
HADHGDDJ_00086	CDS	1365	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
HADHGDDJ_00087	CDS	999				hypothetical protein
HADHGDDJ_00088	CDS	633				hypothetical protein
HADHGDDJ_00089	CDS	1017				hypothetical protein
HADHGDDJ_00090	CDS	786				hypothetical protein
HADHGDDJ_00091	CDS	729				hypothetical protein
HADHGDDJ_00092	CDS	1218				hypothetical protein
HADHGDDJ_00093	CDS	261				hypothetical protein
HADHGDDJ_00094	CDS	246				hypothetical protein
HADHGDDJ_00095	CDS	579				hypothetical protein
HADHGDDJ_00096	CDS	156				hypothetical protein
HADHGDDJ_00097	CDS	627				hypothetical protein
HADHGDDJ_00098	CDS	678	pphA	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
HADHGDDJ_00099	CDS	702				hypothetical protein
HADHGDDJ_00100	CDS	219				hypothetical protein
HADHGDDJ_00101	CDS	1263				hypothetical protein
HADHGDDJ_00102	CDS	507				hypothetical protein
HADHGDDJ_00103	CDS	1113				hypothetical protein
HADHGDDJ_00104	CDS	645				hypothetical protein
HADHGDDJ_00105	CDS	723				hypothetical protein
HADHGDDJ_00106	CDS	753				hypothetical protein
HADHGDDJ_00107	CDS	516				hypothetical protein
HADHGDDJ_00108	CDS	465				hypothetical protein
HADHGDDJ_00109	CDS	210				hypothetical protein
HADHGDDJ_00110	CDS	609				hypothetical protein
HADHGDDJ_00111	CDS	234				hypothetical protein
HADHGDDJ_00112	CDS	294				hypothetical protein
HADHGDDJ_00113	CDS	375				hypothetical protein
HADHGDDJ_00114	CDS	909				hypothetical protein
HADHGDDJ_00115	CDS	267				hypothetical protein
HADHGDDJ_00116	CDS	249	holE	2.7.7.7		DNA polymerase III subunit theta
HADHGDDJ_00117	CDS	393	umuD	3.4.21.-	COG1974	Protein UmuD
HADHGDDJ_00118	CDS	222				hypothetical protein
HADHGDDJ_00119	CDS	381	doc_1		COG3654	Toxin Doc
HADHGDDJ_00120	CDS	180				hypothetical protein
HADHGDDJ_00121	CDS	1044				hypothetical protein
HADHGDDJ_00122	CDS	453				hypothetical protein
HADHGDDJ_00123	CDS	1194				hypothetical protein
