locus_tag	ftype	length_bp	gene	EC_number	COG	product
GJEMGMEC_00001	CDS	162	cusA_1		COG3696	Cation efflux system protein CusA
GJEMGMEC_00002	CDS	114				hypothetical protein
GJEMGMEC_00003	CDS	468	cusA_2		COG3696	Cation efflux system protein CusA
GJEMGMEC_00004	CDS	408	cusA_3		COG3696	Cation efflux system protein CusA
GJEMGMEC_00005	CDS	1461	cusA_4		COG3696	Cation efflux system protein CusA
GJEMGMEC_00006	CDS	183	cusA_5		COG3696	Cation efflux system protein CusA
GJEMGMEC_00007	CDS	1131	cusB_1			Cation efflux system protein CusB
GJEMGMEC_00008	CDS	354	cusF_1		COG5569	Cation efflux system protein CusF
GJEMGMEC_00009	CDS	1386	cusC_1		COG1538	Cation efflux system protein CusC
GJEMGMEC_00010	CDS	681	cusR_1		COG0745	Transcriptional regulatory protein CusR
GJEMGMEC_00011	CDS	333	cusS_1	2.7.13.3	COG0642	Sensor kinase CusS
GJEMGMEC_00012	CDS	906	cusS_2	2.7.13.3	COG0642	Sensor kinase CusS
GJEMGMEC_00013	CDS	243	cusS_3	2.7.13.3	COG0642	Sensor kinase CusS
GJEMGMEC_00014	CDS	432	silE_1			Silver-binding protein SilE
GJEMGMEC_00015	CDS	351				hypothetical protein
GJEMGMEC_00016	CDS	462				hypothetical protein
GJEMGMEC_00017	CDS	459				hypothetical protein
GJEMGMEC_00018	CDS	135				hypothetical protein
GJEMGMEC_00019	CDS	210				hypothetical protein
GJEMGMEC_00020	CDS	351				hypothetical protein
GJEMGMEC_00021	CDS	768				hypothetical protein
GJEMGMEC_00022	CDS	783	xerD_1		COG4974	Tyrosine recombinase XerD
GJEMGMEC_00023	CDS	990	rpnA	3.1.21.-	COG5464	Recombination-promoting nuclease RpnA
GJEMGMEC_00024	CDS	651	virC1			Protein virC1
GJEMGMEC_00025	CDS	231				hypothetical protein
GJEMGMEC_00026	CDS	921	umuC_1		COG0389	Protein UmuC
GJEMGMEC_00027	CDS	903				hypothetical protein
GJEMGMEC_00028	CDS	1680				hypothetical protein
GJEMGMEC_00029	CDS	123	umuC_2		COG0389	Protein UmuC
GJEMGMEC_00030	CDS	426	umuD_1	3.4.21.-	COG1974	Protein UmuD
GJEMGMEC_00031	CDS	231				hypothetical protein
GJEMGMEC_00032	CDS	702	yhdJ_1	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ
GJEMGMEC_00033	CDS	222				hypothetical protein
GJEMGMEC_00034	CDS	558	hin_1		COG1961	DNA-invertase hin
GJEMGMEC_00035	CDS	372				hypothetical protein
GJEMGMEC_00036	CDS	501				hypothetical protein
GJEMGMEC_00037	CDS	327				hypothetical protein
GJEMGMEC_00038	CDS	357				hypothetical protein
GJEMGMEC_00039	CDS	402				hypothetical protein
GJEMGMEC_00040	CDS	291				hypothetical protein
GJEMGMEC_00041	CDS	1059				hypothetical protein
GJEMGMEC_00042	CDS	705				hypothetical protein
GJEMGMEC_00043	CDS	429				hypothetical protein
GJEMGMEC_00044	CDS	366				hypothetical protein
GJEMGMEC_00045	CDS	3237	traI_1			Multifunctional conjugation protein TraI
GJEMGMEC_00046	CDS	1530	traD_1			Coupling protein TraD
GJEMGMEC_00047	CDS	417				hypothetical protein
GJEMGMEC_00048	CDS	420				hypothetical protein
GJEMGMEC_00049	CDS	717				hypothetical protein
GJEMGMEC_00050	CDS	369				hypothetical protein
GJEMGMEC_00051	CDS	345				hypothetical protein
GJEMGMEC_00052	CDS	321				hypothetical protein
GJEMGMEC_00053	CDS	180				hypothetical protein
GJEMGMEC_00054	CDS	510				hypothetical protein
GJEMGMEC_00055	CDS	108				hypothetical protein
GJEMGMEC_00056	CDS	333				hypothetical protein
GJEMGMEC_00057	CDS	285				hypothetical protein
GJEMGMEC_00058	CDS	360				hypothetical protein
GJEMGMEC_00059	CDS	297				hypothetical protein
GJEMGMEC_00060	CDS	546				hypothetical protein
GJEMGMEC_00061	CDS	156				hypothetical protein
GJEMGMEC_00062	CDS	240				hypothetical protein
GJEMGMEC_00063	CDS	336				hypothetical protein
GJEMGMEC_00064	CDS	426	klcA_1			Antirestriction protein KlcA
GJEMGMEC_00065	CDS	441	umuD_2	3.4.21.-	COG1974	Protein UmuD
GJEMGMEC_00066	CDS	1266	umuC_3		COG0389	Protein UmuC
GJEMGMEC_00067	CDS	792				hypothetical protein
GJEMGMEC_00068	CDS	342				hypothetical protein
GJEMGMEC_00069	CDS	720	repE			Replication initiation protein
GJEMGMEC_00070	CDS	1779				hypothetical protein
GJEMGMEC_00071	CDS	243				hypothetical protein
GJEMGMEC_00072	CDS	153				hypothetical protein
GJEMGMEC_00073	CDS	570	hin_2		COG1961	DNA-invertase hin
GJEMGMEC_00074	CDS	1014	xerD_2		COG4974	Tyrosine recombinase XerD
