locus_tag	ftype	length_bp	gene	EC_number	COG	product
GLMJGBOA_00001	CDS	705				hypothetical protein
GLMJGBOA_00002	CDS	882	bla	3.5.2.6		Carbapenem-hydrolyzing beta-lactamase KPC
GLMJGBOA_00003	CDS	981				hypothetical protein
GLMJGBOA_00004	CDS	297				hypothetical protein
GLMJGBOA_00005	CDS	156				hypothetical protein
GLMJGBOA_00006	CDS	426	klcA			Antirestriction protein KlcA
GLMJGBOA_00007	CDS	279				hypothetical protein
GLMJGBOA_00008	CDS	594				hypothetical protein
GLMJGBOA_00009	CDS	519				hypothetical protein
GLMJGBOA_00010	CDS	846				hypothetical protein
GLMJGBOA_00011	CDS	357	higA-1		COG3093	Antitoxin HigA-1
