locus_tag	ftype	length_bp	gene	EC_number	COG	product
EJBGCAGO_00001	CDS	858				hypothetical protein
EJBGCAGO_00002	CDS	564	proQ		COG3109	RNA chaperone ProQ
EJBGCAGO_00003	CDS	612				hypothetical protein
EJBGCAGO_00004	CDS	993				hypothetical protein
EJBGCAGO_00005	CDS	156				hypothetical protein
EJBGCAGO_00006	CDS	1716	xerD_1		COG4974	Tyrosine recombinase XerD
EJBGCAGO_00007	CDS	3030				hypothetical protein
EJBGCAGO_00008	CDS	1026				hypothetical protein
EJBGCAGO_00009	CDS	780				Insertion sequence IS5376 putative ATP-binding protein
EJBGCAGO_00010	CDS	240				hypothetical protein
EJBGCAGO_00011	CDS	882	bla_1	3.5.2.6		Carbapenem-hydrolyzing beta-lactamase KPC
EJBGCAGO_00012	CDS	1320				hypothetical protein
EJBGCAGO_00013	CDS	1185				hypothetical protein
EJBGCAGO_00014	CDS	213				hypothetical protein
EJBGCAGO_00015	CDS	360				hypothetical protein
EJBGCAGO_00016	CDS	117				hypothetical protein
EJBGCAGO_00017	CDS	360				hypothetical protein
EJBGCAGO_00018	CDS	621	bin3			Putative transposon Tn552 DNA-invertase bin3
EJBGCAGO_00019	CDS	2898				hypothetical protein
EJBGCAGO_00020	CDS	705				hypothetical protein
EJBGCAGO_00021	CDS	336	bla_2	3.5.2.6		Beta-lactamase OXA-18
EJBGCAGO_00022	CDS	252	tnpR			Transposon Tn3 resolvase
EJBGCAGO_00023	CDS	1284	tnsB			Transposon Tn7 transposition protein TnsB
EJBGCAGO_00024	CDS	855			COG2200	putative signaling protein
EJBGCAGO_00025	CDS	363	mta		COG0789	HTH-type transcriptional activator mta
EJBGCAGO_00026	CDS	1695	merA	1.16.1.1		Mercuric reductase
EJBGCAGO_00027	CDS	423	merC			Mercuric transport protein MerC
EJBGCAGO_00028	CDS	378				hypothetical protein
EJBGCAGO_00029	CDS	276				hypothetical protein
EJBGCAGO_00030	CDS	711	recF			DNA replication and repair protein RecF
EJBGCAGO_00031	CDS	417	vapC	3.1.-.-	COG1487	tRNA(fMet)-specific endonuclease VapC
EJBGCAGO_00032	CDS	231	vapB		COG4456	Antitoxin VapB
EJBGCAGO_00033	CDS	252				hypothetical protein
EJBGCAGO_00034	CDS	309				hypothetical protein
EJBGCAGO_00035	CDS	330				hypothetical protein
EJBGCAGO_00036	CDS	399				hypothetical protein
EJBGCAGO_00037	CDS	333				hypothetical protein
EJBGCAGO_00038	CDS	783	xerD_2		COG4974	Tyrosine recombinase XerD
EJBGCAGO_00039	CDS	249				hypothetical protein
EJBGCAGO_00040	CDS	474				hypothetical protein
EJBGCAGO_00041	CDS	1269				hypothetical protein
EJBGCAGO_00042	CDS	3258	hsdR	3.1.21.3		Type-1 restriction enzyme R protein
EJBGCAGO_00043	CDS	1317				hypothetical protein
EJBGCAGO_00044	CDS	2028	hsdM	2.1.1.72	COG0286	Type I restriction enzyme EcoKI M protein
EJBGCAGO_00045	CDS	174				hypothetical protein
EJBGCAGO_00046	CDS	333				hypothetical protein
EJBGCAGO_00047	CDS	975	virB		COG1475	Virulence regulon transcriptional activator VirB
EJBGCAGO_00048	CDS	1206	parA			Plasmid partition protein A
EJBGCAGO_00049	CDS	897	repA			Replication protein RepA
EJBGCAGO_00050	CDS	1272	umuC		COG0389	Protein UmuC
EJBGCAGO_00051	CDS	432	umuD	3.4.21.-	COG1974	Protein UmuD
EJBGCAGO_00052	CDS	972	parM			Plasmid segregation protein ParM
EJBGCAGO_00053	CDS	672				hypothetical protein
EJBGCAGO_00054	CDS	231				hypothetical protein
EJBGCAGO_00055	CDS	702	yhdJ	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ
EJBGCAGO_00056	CDS	222				hypothetical protein
EJBGCAGO_00057	CDS	420				hypothetical protein
EJBGCAGO_00058	CDS	768				hypothetical protein
EJBGCAGO_00059	CDS	429	klcA			Antirestriction protein KlcA
EJBGCAGO_00060	CDS	507				hypothetical protein
EJBGCAGO_00061	CDS	192				hypothetical protein
EJBGCAGO_00062	CDS	255	holE	2.7.7.7		DNA polymerase III subunit theta
EJBGCAGO_00063	CDS	318				hypothetical protein
EJBGCAGO_00064	CDS	177				hypothetical protein
EJBGCAGO_00065	CDS	228				hypothetical protein
EJBGCAGO_00066	CDS	231				hypothetical protein
EJBGCAGO_00067	CDS	1356				hypothetical protein
EJBGCAGO_00068	CDS	564				hypothetical protein
EJBGCAGO_00069	CDS	330				hypothetical protein
EJBGCAGO_00070	CDS	513	ssb		COG0629	Single-stranded DNA-binding protein
EJBGCAGO_00071	CDS	243				hypothetical protein
EJBGCAGO_00072	CDS	2010	spo0C		COG1475	Chromosome-partitioning protein Spo0J
EJBGCAGO_00073	CDS	432	psiB			Protein PsiB
EJBGCAGO_00074	CDS	723				hypothetical protein
EJBGCAGO_00075	CDS	357				hypothetical protein
EJBGCAGO_00076	CDS	273				hypothetical protein
EJBGCAGO_00077	CDS	351				hypothetical protein
EJBGCAGO_00078	CDS	354				hypothetical protein
EJBGCAGO_00079	CDS	348				hypothetical protein
EJBGCAGO_00080	CDS	147				hypothetical protein
EJBGCAGO_00081	CDS	834				hypothetical protein
EJBGCAGO_00082	CDS	822				hypothetical protein
EJBGCAGO_00083	CDS	486				hypothetical protein
EJBGCAGO_00084	CDS	399	traM			Relaxosome protein TraM
EJBGCAGO_00085	CDS	687	traJ			Protein TraJ
EJBGCAGO_00086	CDS	387	traY			Relaxosome protein TraY
EJBGCAGO_00087	CDS	369	traA			Pilin
EJBGCAGO_00088	CDS	306				hypothetical protein
EJBGCAGO_00089	CDS	567				hypothetical protein
EJBGCAGO_00090	CDS	741				hypothetical protein
EJBGCAGO_00091	CDS	1425				hypothetical protein
EJBGCAGO_00092	CDS	573	traV			Protein TraV
EJBGCAGO_00093	CDS	411				hypothetical protein
EJBGCAGO_00094	CDS	312				hypothetical protein
EJBGCAGO_00095	CDS	390				hypothetical protein
EJBGCAGO_00096	CDS	393				hypothetical protein
EJBGCAGO_00097	CDS	2640	traC			Protein TraC
EJBGCAGO_00098	CDS	390				hypothetical protein
EJBGCAGO_00099	CDS	627				hypothetical protein
EJBGCAGO_00100	CDS	390				hypothetical protein
EJBGCAGO_00101	CDS	990				hypothetical protein
EJBGCAGO_00102	CDS	639				hypothetical protein
EJBGCAGO_00103	CDS	1956				hypothetical protein
EJBGCAGO_00104	CDS	255				hypothetical protein
EJBGCAGO_00105	CDS	267				hypothetical protein
EJBGCAGO_00106	CDS	327				hypothetical protein
EJBGCAGO_00107	CDS	753				hypothetical protein
EJBGCAGO_00108	CDS	240	traQ			Protein TraQ
EJBGCAGO_00109	CDS	558				hypothetical protein
EJBGCAGO_00110	CDS	444				hypothetical protein
EJBGCAGO_00111	CDS	1368				hypothetical protein
EJBGCAGO_00112	CDS	2850				hypothetical protein
EJBGCAGO_00113	CDS	549	traS			Protein TraS
EJBGCAGO_00114	CDS	732	ylpA			Lipoprotein YlpA
EJBGCAGO_00115	CDS	690				hypothetical protein
EJBGCAGO_00116	CDS	2313	traD			Coupling protein TraD
EJBGCAGO_00117	CDS	5262	traI			Multifunctional conjugation protein TraI
EJBGCAGO_00118	CDS	726				hypothetical protein
EJBGCAGO_00119	CDS	594	finO			Fertility inhibition protein
EJBGCAGO_00120	CDS	222				hypothetical protein
EJBGCAGO_00121	CDS	645				hypothetical protein
EJBGCAGO_00122	CDS	651				hypothetical protein
EJBGCAGO_00123	CDS	309				hypothetical protein
EJBGCAGO_00124	CDS	561	pld	3.1.4.4		Phospholipase D
EJBGCAGO_00125	CDS	252				hypothetical protein
