locus_tag	ftype	length_bp	gene	EC_number	COG	product
CHDKIHGN_00001	CDS	318				hypothetical protein
CHDKIHGN_00002	CDS	1980	traI			Protein TraI
CHDKIHGN_00003	CDS	501				hypothetical protein
CHDKIHGN_00004	CDS	780				hypothetical protein
CHDKIHGN_00005	CDS	1164	yggR		COG2805	putative protein YggR
CHDKIHGN_00006	CDS	261				hypothetical protein
CHDKIHGN_00007	CDS	3081	traC	2.7.7.-		DNA primase TraC
CHDKIHGN_00008	CDS	513				hypothetical protein
CHDKIHGN_00009	CDS	198				hypothetical protein
CHDKIHGN_00010	CDS	411				hypothetical protein
CHDKIHGN_00011	CDS	714				hypothetical protein
CHDKIHGN_00012	CDS	1152				hypothetical protein
CHDKIHGN_00013	CDS	1350				hypothetical protein
CHDKIHGN_00014	CDS	705				hypothetical protein
CHDKIHGN_00015	CDS	531				hypothetical protein
CHDKIHGN_00016	CDS	390				hypothetical protein
CHDKIHGN_00017	CDS	495				hypothetical protein
CHDKIHGN_00018	CDS	3051				hypothetical protein
CHDKIHGN_00019	CDS	1209				hypothetical protein
CHDKIHGN_00020	CDS	651				hypothetical protein
CHDKIHGN_00021	CDS	2181				hypothetical protein
CHDKIHGN_00022	CDS	654				hypothetical protein
CHDKIHGN_00023	CDS	231				hypothetical protein
CHDKIHGN_00024	CDS	1056	repA			Replication initiation protein
CHDKIHGN_00025	CDS	498				hypothetical protein
CHDKIHGN_00026	CDS	876				hypothetical protein
CHDKIHGN_00027	CDS	780				Insertion sequence IS5376 putative ATP-binding protein
CHDKIHGN_00028	CDS	882	bla	3.5.2.6		Carbapenem-hydrolyzing beta-lactamase KPC
CHDKIHGN_00029	CDS	1320				hypothetical protein
CHDKIHGN_00030	CDS	150				hypothetical protein
CHDKIHGN_00031	CDS	192	rop			Regulatory protein rop
CHDKIHGN_00032	CDS	423				hypothetical protein
CHDKIHGN_00033	CDS	2898				hypothetical protein
CHDKIHGN_00034	CDS	606	pinR	3.1.22.-	COG1961	Serine recombinase PinR
CHDKIHGN_00035	CDS	2088				hypothetical protein
CHDKIHGN_00036	CDS	951				hypothetical protein
CHDKIHGN_00037	CDS	1308				hypothetical protein
CHDKIHGN_00038	CDS	396				hypothetical protein
CHDKIHGN_00039	CDS	351				hypothetical protein
CHDKIHGN_00040	CDS	654				hypothetical protein
CHDKIHGN_00041	CDS	258	pemI			Antitoxin PemI
CHDKIHGN_00042	CDS	333	pemK	3.1.-.-		Endoribonuclease PemK
CHDKIHGN_00043	CDS	435	umuD	3.4.21.-	COG1974	Protein UmuD
CHDKIHGN_00044	CDS	546	umuC_1		COG0389	Protein UmuC
CHDKIHGN_00045	CDS	744	umuC_2		COG0389	Protein UmuC
CHDKIHGN_00046	CDS	210				hypothetical protein
CHDKIHGN_00047	CDS	219				hypothetical protein
CHDKIHGN_00048	CDS	684				hypothetical protein
CHDKIHGN_00049	CDS	258				hypothetical protein
CHDKIHGN_00050	CDS	1275				hypothetical protein
CHDKIHGN_00051	CDS	357				hypothetical protein
CHDKIHGN_00052	CDS	579				hypothetical protein
CHDKIHGN_00053	CDS	408				hypothetical protein
CHDKIHGN_00054	CDS	546				hypothetical protein
CHDKIHGN_00055	CDS	471				hypothetical protein
CHDKIHGN_00056	CDS	249				hypothetical protein
CHDKIHGN_00057	CDS	588				hypothetical protein
CHDKIHGN_00058	CDS	486				hypothetical protein
CHDKIHGN_00059	CDS	249				hypothetical protein
CHDKIHGN_00060	CDS	741	xerD			Tyrosine recombinase XerD
CHDKIHGN_00061	CDS	975	parM			Plasmid segregation protein ParM
CHDKIHGN_00062	CDS	444	stbB			Protein StbB
CHDKIHGN_00063	CDS	564	pld	3.1.4.4		Phospholipase D
CHDKIHGN_00064	CDS	507				hypothetical protein
CHDKIHGN_00065	CDS	480				hypothetical protein
CHDKIHGN_00066	CDS	411				hypothetical protein
CHDKIHGN_00067	CDS	264				hypothetical protein
CHDKIHGN_00068	CDS	363				hypothetical protein
CHDKIHGN_00069	CDS	450				hypothetical protein
CHDKIHGN_00070	CDS	267				hypothetical protein
CHDKIHGN_00071	CDS	339				hypothetical protein
CHDKIHGN_00072	CDS	231	ymoA			Modulating protein YmoA
CHDKIHGN_00073	CDS	114				hypothetical protein
CHDKIHGN_00074	CDS	216				hypothetical protein
CHDKIHGN_00075	CDS	411				hypothetical protein
CHDKIHGN_00076	CDS	306				hypothetical protein
CHDKIHGN_00077	CDS	441	klcA			Antirestriction protein KlcA
CHDKIHGN_00078	CDS	285				hypothetical protein
CHDKIHGN_00079	CDS	222				hypothetical protein
CHDKIHGN_00080	CDS	435	ssb		COG0629	Single-stranded DNA-binding protein
CHDKIHGN_00081	CDS	312				hypothetical protein
CHDKIHGN_00082	CDS	537				hypothetical protein
CHDKIHGN_00083	CDS	141				hypothetical protein
CHDKIHGN_00084	CDS	366				hypothetical protein
