locus_tag	ftype	length_bp	gene	EC_number	COG	product
MKJJMLKL_00001	CDS	858				hypothetical protein
MKJJMLKL_00002	CDS	564	proQ		COG3109	RNA chaperone ProQ
MKJJMLKL_00003	CDS	612				hypothetical protein
MKJJMLKL_00004	CDS	993				hypothetical protein
MKJJMLKL_00005	CDS	156				hypothetical protein
MKJJMLKL_00006	CDS	1716	xerD_1		COG4974	Tyrosine recombinase XerD
MKJJMLKL_00007	CDS	3030				hypothetical protein
MKJJMLKL_00008	CDS	1026				hypothetical protein
MKJJMLKL_00009	CDS	780				Insertion sequence IS5376 putative ATP-binding protein
MKJJMLKL_00010	CDS	240				hypothetical protein
MKJJMLKL_00011	CDS	882	bla_1	3.5.2.6		Carbapenem-hydrolyzing beta-lactamase KPC
MKJJMLKL_00012	CDS	1320				hypothetical protein
MKJJMLKL_00013	CDS	1185				hypothetical protein
MKJJMLKL_00014	CDS	213				hypothetical protein
MKJJMLKL_00015	CDS	360				hypothetical protein
MKJJMLKL_00016	CDS	105				hypothetical protein
MKJJMLKL_00017	CDS	360				hypothetical protein
MKJJMLKL_00018	CDS	621	bin3			Putative transposon Tn552 DNA-invertase bin3
MKJJMLKL_00019	CDS	2898				hypothetical protein
MKJJMLKL_00020	CDS	705				hypothetical protein
MKJJMLKL_00021	CDS	861	bla_2	3.5.2.6		Beta-lactamase TEM
MKJJMLKL_00022	CDS	411				hypothetical protein
MKJJMLKL_00023	CDS	1269	tnsB			Transposon Tn7 transposition protein TnsB
MKJJMLKL_00024	CDS	708			COG2200	putative signaling protein
MKJJMLKL_00025	CDS	237				hypothetical protein
MKJJMLKL_00026	CDS	363	mta		COG0789	HTH-type transcriptional activator mta
MKJJMLKL_00027	CDS	1695	merA	1.16.1.1		Mercuric reductase
MKJJMLKL_00028	CDS	423	merC			Mercuric transport protein MerC
MKJJMLKL_00029	CDS	378				hypothetical protein
MKJJMLKL_00030	CDS	276				hypothetical protein
MKJJMLKL_00031	CDS	711	recF			DNA replication and repair protein RecF
MKJJMLKL_00032	CDS	417	vapC	3.1.-.-	COG1487	tRNA(fMet)-specific endonuclease VapC
MKJJMLKL_00033	CDS	231	vapB		COG4456	Antitoxin VapB
MKJJMLKL_00034	CDS	252				hypothetical protein
MKJJMLKL_00035	CDS	309				hypothetical protein
MKJJMLKL_00036	CDS	330				hypothetical protein
