locus_tag	ftype	length_bp	gene	EC_number	COG	product
MHCODAFD_00001	CDS	873	pir			PI protein
MHCODAFD_00002	CDS	444				hypothetical protein
MHCODAFD_00003	CDS	354				hypothetical protein
MHCODAFD_00004	CDS	285				hypothetical protein
MHCODAFD_00005	CDS	312				hypothetical protein
MHCODAFD_00006	CDS	285				hypothetical protein
MHCODAFD_00007	CDS	663				Iron-sulfur cluster carrier protein
MHCODAFD_00008	CDS	663	bin3_1			Putative transposon Tn552 DNA-invertase bin3
MHCODAFD_00009	CDS	240				hypothetical protein
MHCODAFD_00010	CDS	357	umuD	3.4.21.-	COG1974	Protein UmuD
MHCODAFD_00011	CDS	705				hypothetical protein
MHCODAFD_00012	CDS	2898				hypothetical protein
MHCODAFD_00013	CDS	621	bin3_2			Putative transposon Tn552 DNA-invertase bin3
MHCODAFD_00014	CDS	411				hypothetical protein
MHCODAFD_00015	CDS	360				hypothetical protein
MHCODAFD_00016	CDS	213				hypothetical protein
MHCODAFD_00017	CDS	1185				hypothetical protein
MHCODAFD_00018	CDS	1320				hypothetical protein
MHCODAFD_00019	CDS	882	bla	3.5.2.6		Carbapenem-hydrolyzing beta-lactamase KPC
MHCODAFD_00020	CDS	240				hypothetical protein
MHCODAFD_00021	CDS	780				Insertion sequence IS5376 putative ATP-binding protein
MHCODAFD_00022	CDS	1026				hypothetical protein
MHCODAFD_00023	CDS	3030				hypothetical protein
MHCODAFD_00024	CDS	495	yhcR	3.1.31.-	COG0737	Endonuclease YhcR
MHCODAFD_00025	CDS	327				hypothetical protein
MHCODAFD_00026	CDS	315				hypothetical protein
MHCODAFD_00027	CDS	393				hypothetical protein
MHCODAFD_00028	CDS	1836	virD4			Protein VirD4
MHCODAFD_00029	CDS	1035	ptlH		COG0630	Type IV secretion system protein PtlH
MHCODAFD_00030	CDS	198				hypothetical protein
MHCODAFD_00031	CDS	1215				Type IV secretion system protein virB10
MHCODAFD_00032	CDS	930	virB9			Type IV secretion system protein virB9
MHCODAFD_00033	CDS	729	virB8			Type IV secretion system protein virB8
MHCODAFD_00034	CDS	1056				hypothetical protein
MHCODAFD_00035	CDS	258				hypothetical protein
MHCODAFD_00036	CDS	771				hypothetical protein
MHCODAFD_00037	CDS	2754	virB4			Type IV secretion system protein virB4
MHCODAFD_00038	CDS	291				hypothetical protein
MHCODAFD_00039	CDS	645	virB1			Type IV secretion system protein virB1
MHCODAFD_00040	CDS	237				hypothetical protein
MHCODAFD_00041	CDS	510	rfaH		COG0250	Transcription antitermination protein RfaH
MHCODAFD_00042	CDS	1161				hypothetical protein
MHCODAFD_00043	CDS	546				hypothetical protein
MHCODAFD_00044	CDS	258				hypothetical protein
MHCODAFD_00045	CDS	165				hypothetical protein
MHCODAFD_00046	CDS	339				hypothetical protein
MHCODAFD_00047	CDS	243				hypothetical protein
MHCODAFD_00048	CDS	270				hypothetical protein
MHCODAFD_00049	CDS	552				hypothetical protein
MHCODAFD_00050	CDS	237				hypothetical protein
MHCODAFD_00051	CDS	516	dnaJ			Chaperone protein DnaJ
