locus_tag	ftype	length_bp	gene	EC_number	COG	product
FNLGFICL_00001	CDS	222				hypothetical protein
FNLGFICL_00002	CDS	645				hypothetical protein
FNLGFICL_00003	CDS	651				hypothetical protein
FNLGFICL_00004	CDS	309				hypothetical protein
FNLGFICL_00005	CDS	561	pld	3.1.4.4		Phospholipase D
FNLGFICL_00006	CDS	858				hypothetical protein
FNLGFICL_00007	CDS	564	proQ		COG3109	RNA chaperone ProQ
FNLGFICL_00008	CDS	612				hypothetical protein
FNLGFICL_00009	CDS	993				hypothetical protein
FNLGFICL_00010	CDS	156				hypothetical protein
FNLGFICL_00011	CDS	1716	xerD_1		COG4974	Tyrosine recombinase XerD
FNLGFICL_00012	CDS	3030				hypothetical protein
FNLGFICL_00013	CDS	1026				hypothetical protein
FNLGFICL_00014	CDS	780				Insertion sequence IS5376 putative ATP-binding protein
FNLGFICL_00015	CDS	240				hypothetical protein
FNLGFICL_00016	CDS	882	bla_1	3.5.2.6		Carbapenem-hydrolyzing beta-lactamase KPC
FNLGFICL_00017	CDS	1320				hypothetical protein
FNLGFICL_00018	CDS	1185				hypothetical protein
FNLGFICL_00019	CDS	213				hypothetical protein
FNLGFICL_00020	CDS	360				hypothetical protein
FNLGFICL_00021	CDS	117				hypothetical protein
FNLGFICL_00022	CDS	411				hypothetical protein
FNLGFICL_00023	CDS	621	bin3			Putative transposon Tn552 DNA-invertase bin3
FNLGFICL_00024	CDS	2898				hypothetical protein
FNLGFICL_00025	CDS	705				hypothetical protein
FNLGFICL_00026	CDS	336	bla_2	3.5.2.6		Beta-lactamase OXA-18
FNLGFICL_00027	CDS	360	bla_3	3.5.2.6		Beta-lactamase OXA-18
FNLGFICL_00028	CDS	861	bla_4	3.5.2.6		Beta-lactamase TEM
FNLGFICL_00029	CDS	411				hypothetical protein
FNLGFICL_00030	CDS	1269	tnsB			Transposon Tn7 transposition protein TnsB
FNLGFICL_00031	CDS	708			COG2200	putative signaling protein
FNLGFICL_00032	CDS	237				hypothetical protein
FNLGFICL_00033	CDS	363	mta		COG0789	HTH-type transcriptional activator mta
FNLGFICL_00034	CDS	1695	merA	1.16.1.1		Mercuric reductase
FNLGFICL_00035	CDS	423	merC			Mercuric transport protein MerC
FNLGFICL_00036	CDS	378				hypothetical protein
FNLGFICL_00037	CDS	276				hypothetical protein
FNLGFICL_00038	CDS	711	recF			DNA replication and repair protein RecF
FNLGFICL_00039	CDS	417	vapC	3.1.-.-	COG1487	tRNA(fMet)-specific endonuclease VapC
FNLGFICL_00040	CDS	231	vapB		COG4456	Antitoxin VapB
FNLGFICL_00041	CDS	252				hypothetical protein
FNLGFICL_00042	CDS	309				hypothetical protein
FNLGFICL_00043	CDS	330				hypothetical protein
FNLGFICL_00044	CDS	399				hypothetical protein
FNLGFICL_00045	CDS	333				hypothetical protein
FNLGFICL_00046	CDS	783	xerD_2		COG4974	Tyrosine recombinase XerD
FNLGFICL_00047	CDS	249				hypothetical protein
FNLGFICL_00048	CDS	474				hypothetical protein
FNLGFICL_00049	CDS	1269				hypothetical protein
FNLGFICL_00050	CDS	3258	hsdR	3.1.21.3		Type-1 restriction enzyme R protein
FNLGFICL_00051	CDS	1317				hypothetical protein
FNLGFICL_00052	CDS	2028	hsdM	2.1.1.72	COG0286	Type I restriction enzyme EcoKI M protein
FNLGFICL_00053	CDS	174				hypothetical protein
FNLGFICL_00054	CDS	333				hypothetical protein
FNLGFICL_00055	CDS	975	virB		COG1475	Virulence regulon transcriptional activator VirB
FNLGFICL_00056	CDS	1206	parA			Plasmid partition protein A
FNLGFICL_00057	CDS	897	repA			Replication protein RepA
FNLGFICL_00058	CDS	1272	umuC		COG0389	Protein UmuC
FNLGFICL_00059	CDS	432	umuD	3.4.21.-	COG1974	Protein UmuD
FNLGFICL_00060	CDS	972	parM			Plasmid segregation protein ParM
