accession;organism;description;basepairs;date;country;plasmid_name;plasmid_type;inc_type;transposon;beta-lactamases;beta-lactamases_range;kpc_type;kpc_start;kpc_end;integronfinder
AB557734.1;Klebsiella pneumoniae;plasmid pKYSKPC blaKPC-3 gene for beta-lactamase, complete cds, strain: KH4987;1701;25-JUL-2016;unknown;pKYSKPC;1;unknown;[unknown] ;KPC-3 ;[KPC-3: 364 - 1245] ;KPC-3;364;1245; No Integron found
AB854326.1;Klebsiella pneumoniae;plasmid pKP3018 DNA, putative ISKpn8 transposase gene, carbapenemase KPC-2 (blaKPC-2) gene and;2357;26-JUL-2016;Japan;pKP3018;2;unknown;[unknown] ;KPC-2 ;[KPC-2: 1015 - 1896] ;KPC-2;1015;1896; No Integron found
AF481906.1;Salmonella enterica;subsp. enterica serovar Cubana transfer plasmid pST4707 putative transposase gene, partial cds;5303;26-JUL-2016;unknown;pST4707;1;unknown;[unknown] ;KPC-2 ;[KPC-2: 3564 - 4445] ;KPC-2;3564;4445; No Integron found
AP018674.1;Klebsiella pneumoniae;GSU10-3 plasmid pGSU10-3-3 DNA, complete genome;67197;05-JUN-2018;Japan;pGSU10-3-3;120;IncN;[Tn3] ;KPC-2 ;[KPC-2: 22696 - 23577] ;KPC-2;22696;23577; No Integron found
AY210886.1;Klebsiella oxytoca;plasmid-encoded putative IS1-like ATP-binding protein gene, partial cds and KPC-2 gene, complete;1968;25-JUL-2016;unknown;unknown;1;unknown;[unknown] ;KPC-2 ;[KPC-2: 864 - 1745] ;KPC-2;864;1745; No Integron found
CP003224.1;Klebsiella pneumoniae;subsp. pneumoniae HS11286 plasmid pKPHS2, complete sequence;112784;25-JUL-2016;unknown;pKPHS2;70;unknown;[Tn3] ;KPC-2 TEM-1 ;[KPC-2: 20557 - 21438] [TEM-1: 41723 - 42583] ;KPC-2;20557;21438; No Integron found
CP003997.1;Klebsiella pneumoniae;subsp. pneumoniae Kp13 plasmid pKP13d, complete sequence;46226;15-JUN-2016;Brazil;pKP13d;137;IncU;[Tn3] ;KPC-2 ;[KPC-2: 5569 - 6450] ;KPC-2;5569;6450;[integron_01: 44761 - 45344] 
CP004366.2;Klebsiella pneumoniae;FCF1305 plasmid pKPC_FCF13/05, complete sequence;53840;26-JUL-2016;Brazil;pKPC_FCF13/05;68;IncN;[unknown] ;KPC-2 ;[KPC-2: 33218 - 34099] ;KPC-2;33218;34099; No Integron found
CP004367.2;Klebsiella pneumoniae;FCF3SP plasmid pKPC_FCF/3SP, complete sequence;55386;26-JUL-2016;Brazil;pKPC_FCF/3SP;68;IncN;[unknown] ;KPC-2 ;[KPC-2: 34742 - 35623] ;KPC-2;34742;35623; No Integron found
CP006657.1;Klebsiella pneumoniae;JM45 plasmid p1, complete sequence;321685;26-JUL-2016;unknown;p1;7;IncFIB;[Tn21] [Tn1721] [Tn3] ;VEB-3 KPC-2 CTX-M-24 TEM-1 ;[VEB-3: 152735 - 153634] [KPC-2: 116171 - 117052] [CTX-M-24: 127469 - 128344] [TEM-1: 141593 - 142453] ;KPC-2;116171;117052;[integron_01: 69199 - 72564] 
