locus_tag	ftype	length_bp	gene	EC_number	COG	product
EKAIBHJA_00001	CDS	570	hin		COG1961	DNA-invertase hin
EKAIBHJA_00002	CDS	831				hypothetical protein
EKAIBHJA_00003	CDS	714	secA		COG0653	Protein translocase subunit SecA
EKAIBHJA_00004	CDS	741				hypothetical protein
EKAIBHJA_00005	CDS	573				hypothetical protein
EKAIBHJA_00006	CDS	720	repE			Replication initiation protein
EKAIBHJA_00007	CDS	342				hypothetical protein
EKAIBHJA_00008	CDS	792				hypothetical protein
EKAIBHJA_00009	CDS	1185	umuC		COG0389	Protein UmuC
EKAIBHJA_00010	CDS	441	umuD	3.4.21.-	COG1974	Protein UmuD
EKAIBHJA_00011	CDS	426	klcA			Antirestriction protein KlcA
EKAIBHJA_00012	CDS	405				hypothetical protein
EKAIBHJA_00013	CDS	240				hypothetical protein
EKAIBHJA_00014	CDS	156				hypothetical protein
EKAIBHJA_00015	CDS	546				hypothetical protein
EKAIBHJA_00016	CDS	297				hypothetical protein
EKAIBHJA_00017	CDS	360				hypothetical protein
EKAIBHJA_00018	CDS	285				hypothetical protein
EKAIBHJA_00019	CDS	333				hypothetical protein
EKAIBHJA_00020	CDS	108				hypothetical protein
EKAIBHJA_00021	CDS	510				hypothetical protein
EKAIBHJA_00022	CDS	180				hypothetical protein
EKAIBHJA_00023	CDS	345				hypothetical protein
EKAIBHJA_00024	CDS	369				hypothetical protein
EKAIBHJA_00025	CDS	717				hypothetical protein
EKAIBHJA_00026	CDS	387				hypothetical protein
EKAIBHJA_00027	CDS	417				hypothetical protein
EKAIBHJA_00028	CDS	1530	traD			Coupling protein TraD
EKAIBHJA_00029	CDS	3237	traI			Multifunctional conjugation protein TraI
EKAIBHJA_00030	CDS	399				hypothetical protein
EKAIBHJA_00031	CDS	291				hypothetical protein
EKAIBHJA_00032	CDS	402				hypothetical protein
EKAIBHJA_00033	CDS	357				hypothetical protein
EKAIBHJA_00034	CDS	327				hypothetical protein
EKAIBHJA_00035	CDS	315				hypothetical protein
EKAIBHJA_00036	CDS	861	yokD	2.3.1.-	COG2746	SPBc2 prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD
EKAIBHJA_00037	CDS	543	tmrB			Tunicamycin resistance protein
EKAIBHJA_00038	CDS	228				hypothetical protein
EKAIBHJA_00039	CDS	1137				hypothetical protein
EKAIBHJA_00040	CDS	1371				hypothetical protein
EKAIBHJA_00041	CDS	861	bla_1	3.5.2.6		Beta-lactamase TEM
EKAIBHJA_00042	CDS	882	bla_2	3.5.2.6		Carbapenem-hydrolyzing beta-lactamase KPC
EKAIBHJA_00043	CDS	1320				hypothetical protein
EKAIBHJA_00044	CDS	180				hypothetical protein
EKAIBHJA_00045	CDS	996			COG0630	Type IV secretion system protein VirB11
EKAIBHJA_00046	CDS	1161				Protein virB10
EKAIBHJA_00047	CDS	885	virB9			Type IV secretion system protein virB9
EKAIBHJA_00048	CDS	699	virB8			Type IV secretion system protein virB8
EKAIBHJA_00049	CDS	1041	virB6			Type IV secretion system protein VirB6
EKAIBHJA_00050	CDS	228				hypothetical protein
EKAIBHJA_00051	CDS	714	virB5			Type IV secretion system protein virB5
EKAIBHJA_00052	CDS	2601	virB4			Type IV secretion system protein virB4
EKAIBHJA_00053	CDS	318				hypothetical protein
EKAIBHJA_00054	CDS	294				hypothetical protein
EKAIBHJA_00055	CDS	282				hypothetical protein
EKAIBHJA_00056	CDS	738	virB1			Type IV secretion system protein virB1
EKAIBHJA_00057	CDS	306	hvrA			Trans-acting regulatory protein HvrA
EKAIBHJA_00058	CDS	345				hypothetical protein
EKAIBHJA_00059	CDS	315				hypothetical protein
EKAIBHJA_00060	CDS	312				hypothetical protein
EKAIBHJA_00061	CDS	924				hypothetical protein
EKAIBHJA_00062	CDS	255				hypothetical protein
EKAIBHJA_00063	CDS	207				hypothetical protein
EKAIBHJA_00064	CDS	267				hypothetical protein
EKAIBHJA_00065	CDS	1434	dcm	2.1.1.37	COG0270	DNA-cytosine methyltransferase
EKAIBHJA_00066	CDS	1209	ecoRIIR	3.1.21.4		Type-2 restriction enzyme EcoRII
