locus_tag	ftype	length_bp	gene	EC_number	COG	product
CBMOPMDN_00001	CDS	864				hypothetical protein
CBMOPMDN_00002	CDS	147				hypothetical protein
CBMOPMDN_00003	CDS	849				hypothetical protein
CBMOPMDN_00004	CDS	285				hypothetical protein
CBMOPMDN_00005	CDS	294				hypothetical protein
CBMOPMDN_00006	CDS	483				hypothetical protein
CBMOPMDN_00007	CDS	582				hypothetical protein
CBMOPMDN_00008	CDS	705				hypothetical protein
CBMOPMDN_00009	CDS	861	yokD	2.3.1.-	COG2746	SPBc2 prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD
CBMOPMDN_00010	CDS	345	tmrB			Tunicamycin resistance protein
CBMOPMDN_00011	CDS	705				hypothetical protein
CBMOPMDN_00012	CDS	396	tnpR			Transposon Tn3 resolvase
CBMOPMDN_00013	CDS	981				hypothetical protein
CBMOPMDN_00014	CDS	882	bla	3.5.2.6		Carbapenem-hydrolyzing beta-lactamase KPC
CBMOPMDN_00015	CDS	981				hypothetical protein
CBMOPMDN_00016	CDS	297				hypothetical protein
CBMOPMDN_00017	CDS	156				hypothetical protein
CBMOPMDN_00018	CDS	426	klcA_1			Antirestriction protein KlcA
CBMOPMDN_00019	CDS	279				hypothetical protein
CBMOPMDN_00020	CDS	561				hypothetical protein
CBMOPMDN_00021	CDS	705				hypothetical protein
CBMOPMDN_00022	CDS	594	finO			Fertility inhibition protein
CBMOPMDN_00023	CDS	723				hypothetical protein
CBMOPMDN_00024	CDS	5262	traI			Multifunctional conjugation protein TraI
CBMOPMDN_00025	CDS	2313	traD			Coupling protein TraD
CBMOPMDN_00026	CDS	690				hypothetical protein
CBMOPMDN_00027	CDS	732	ylpA			Lipoprotein YlpA
CBMOPMDN_00028	CDS	540	traS			Protein TraS
CBMOPMDN_00029	CDS	2850				hypothetical protein
CBMOPMDN_00030	CDS	1368				hypothetical protein
CBMOPMDN_00031	CDS	444				hypothetical protein
CBMOPMDN_00032	CDS	969				hypothetical protein
CBMOPMDN_00033	CDS	558				hypothetical protein
CBMOPMDN_00034	CDS	240	traQ			Protein TraQ
CBMOPMDN_00035	CDS	753				hypothetical protein
CBMOPMDN_00036	CDS	327				hypothetical protein
CBMOPMDN_00037	CDS	267				hypothetical protein
CBMOPMDN_00038	CDS	255				hypothetical protein
CBMOPMDN_00039	CDS	1956				hypothetical protein
CBMOPMDN_00040	CDS	639				hypothetical protein
CBMOPMDN_00041	CDS	990				hypothetical protein
