locus_tag	ftype	length_bp	gene	EC_number	COG	product
BLCOCBOI_00001	CDS	2898				hypothetical protein
BLCOCBOI_00002	CDS	621	bin3			Putative transposon Tn552 DNA-invertase bin3
BLCOCBOI_00003	CDS	360				hypothetical protein
BLCOCBOI_00004	CDS	117				hypothetical protein
BLCOCBOI_00005	CDS	360				hypothetical protein
BLCOCBOI_00006	CDS	213				hypothetical protein
BLCOCBOI_00007	CDS	1185				hypothetical protein
BLCOCBOI_00008	CDS	1320				hypothetical protein
BLCOCBOI_00009	CDS	882	bla_1	3.5.2.6		Carbapenem-hydrolyzing beta-lactamase KPC
BLCOCBOI_00010	CDS	240				hypothetical protein
BLCOCBOI_00011	CDS	780				Insertion sequence IS5376 putative ATP-binding protein
BLCOCBOI_00012	CDS	1026				hypothetical protein
BLCOCBOI_00013	CDS	3030				hypothetical protein
BLCOCBOI_00014	CDS	1716	xerD_1		COG4974	Tyrosine recombinase XerD
BLCOCBOI_00015	CDS	156				hypothetical protein
BLCOCBOI_00016	CDS	957				hypothetical protein
BLCOCBOI_00017	CDS	612				hypothetical protein
BLCOCBOI_00018	CDS	564	proQ		COG3109	RNA chaperone ProQ
BLCOCBOI_00019	CDS	858				hypothetical protein
BLCOCBOI_00020	CDS	252				hypothetical protein
BLCOCBOI_00021	CDS	561	pld	3.1.4.4		Phospholipase D
BLCOCBOI_00022	CDS	309				hypothetical protein
BLCOCBOI_00023	CDS	651				hypothetical protein
BLCOCBOI_00024	CDS	645				hypothetical protein
BLCOCBOI_00025	CDS	222				hypothetical protein
BLCOCBOI_00026	CDS	594	finO			Fertility inhibition protein
BLCOCBOI_00027	CDS	726				hypothetical protein
BLCOCBOI_00028	CDS	5262	traI			Multifunctional conjugation protein TraI
BLCOCBOI_00029	CDS	2310	traD			Coupling protein TraD
BLCOCBOI_00030	CDS	732	ylpA			Lipoprotein YlpA
BLCOCBOI_00031	CDS	546	traS			Protein TraS
BLCOCBOI_00032	CDS	2880				hypothetical protein
BLCOCBOI_00033	CDS	1371				hypothetical protein
BLCOCBOI_00034	CDS	429				hypothetical protein
BLCOCBOI_00035	CDS	573				hypothetical protein
BLCOCBOI_00036	CDS	240	traQ			Protein TraQ
BLCOCBOI_00037	CDS	753				hypothetical protein
BLCOCBOI_00038	CDS	327				hypothetical protein
BLCOCBOI_00039	CDS	186				hypothetical protein
BLCOCBOI_00040	CDS	237				hypothetical protein
BLCOCBOI_00041	CDS	951				hypothetical protein
BLCOCBOI_00042	CDS	1017				hypothetical protein
BLCOCBOI_00043	CDS	639				hypothetical protein
BLCOCBOI_00044	CDS	990				hypothetical protein
BLCOCBOI_00045	CDS	390				hypothetical protein
BLCOCBOI_00046	CDS	627				hypothetical protein
BLCOCBOI_00047	CDS	390				hypothetical protein
BLCOCBOI_00048	CDS	2640	traC			Protein TraC
