locus_tag	ftype	length_bp	gene	EC_number	COG	product
FLCHFEBO_00001	CDS	1029				hypothetical protein
FLCHFEBO_00002	CDS	453				hypothetical protein
FLCHFEBO_00003	CDS	525	pld	3.1.4.4		Phospholipase D
FLCHFEBO_00004	CDS	423				hypothetical protein
FLCHFEBO_00005	CDS	384				hypothetical protein
FLCHFEBO_00006	CDS	141				hypothetical protein
FLCHFEBO_00007	CDS	147				hypothetical protein
FLCHFEBO_00008	CDS	303				hypothetical protein
FLCHFEBO_00009	CDS	264				hypothetical protein
FLCHFEBO_00010	CDS	636				hypothetical protein
FLCHFEBO_00011	CDS	561				hypothetical protein
FLCHFEBO_00012	CDS	279				hypothetical protein
FLCHFEBO_00013	CDS	423	klcA			Antirestriction protein KlcA
FLCHFEBO_00014	CDS	156				hypothetical protein
FLCHFEBO_00015	CDS	297				hypothetical protein
FLCHFEBO_00016	CDS	981				hypothetical protein
FLCHFEBO_00017	CDS	882	bla_1	3.5.2.6		Carbapenem-hydrolyzing beta-lactamase KPC
FLCHFEBO_00018	CDS	651	bla_2	3.5.2.6		Beta-lactamase TEM
FLCHFEBO_00019	CDS	375				hypothetical protein
FLCHFEBO_00020	CDS	414				hypothetical protein
FLCHFEBO_00021	CDS	558	tnpR			Transposon Tn3 resolvase
FLCHFEBO_00022	CDS	3006				hypothetical protein
FLCHFEBO_00023	CDS	189				hypothetical protein
FLCHFEBO_00024	CDS	459	stpA		COG2916	DNA-binding protein StpA
FLCHFEBO_00025	CDS	210	hha			Hemolysin expression-modulating protein Hha
FLCHFEBO_00026	CDS	2145	topB	5.99.1.2	COG0550	DNA topoisomerase 3
FLCHFEBO_00027	CDS	576				hypothetical protein
FLCHFEBO_00028	CDS	1263	yjoB	3.-.-.-	COG0465	putative ATPase YjoB
FLCHFEBO_00029	CDS	225				hypothetical protein
FLCHFEBO_00030	CDS	303				hypothetical protein
FLCHFEBO_00031	CDS	318				hypothetical protein
FLCHFEBO_00032	CDS	396				hypothetical protein
FLCHFEBO_00033	CDS	315				hypothetical protein
FLCHFEBO_00034	CDS	468				hypothetical protein
FLCHFEBO_00035	CDS	1827	virD4			Protein VirD4
FLCHFEBO_00036	CDS	1032				Type IV secretion system protein VirB11
FLCHFEBO_00037	CDS	1290				Protein virB10
FLCHFEBO_00038	CDS	921	virB9			Type IV secretion system protein virB9
FLCHFEBO_00039	CDS	687	ptlE		COG3736	Type IV secretion system protein PtlE
FLCHFEBO_00040	CDS	1059				hypothetical protein
FLCHFEBO_00041	CDS	423				hypothetical protein
FLCHFEBO_00042	CDS	741				hypothetical protein
FLCHFEBO_00043	CDS	2766	virB4			Type IV secretion system protein virB4
FLCHFEBO_00044	CDS	294				hypothetical protein
FLCHFEBO_00045	CDS	630	virB1			Type IV secretion system protein virB1
FLCHFEBO_00046	CDS	198				hypothetical protein
FLCHFEBO_00047	CDS	495	rfaH		COG0250	Transcription antitermination protein RfaH
FLCHFEBO_00048	CDS	393	immR		COG1396	HTH-type transcriptional regulator ImmR
FLCHFEBO_00049	CDS	1170				hypothetical protein
FLCHFEBO_00050	CDS	543				hypothetical protein
FLCHFEBO_00051	CDS	285				hypothetical protein
FLCHFEBO_00052	CDS	297				hypothetical protein
FLCHFEBO_00053	CDS	138				hypothetical protein
FLCHFEBO_00054	CDS	210				hypothetical protein
FLCHFEBO_00055	CDS	213				hypothetical protein
FLCHFEBO_00056	CDS	234				hypothetical protein
FLCHFEBO_00057	CDS	258				hypothetical protein
FLCHFEBO_00058	CDS	543				hypothetical protein
FLCHFEBO_00059	CDS	207				hypothetical protein
FLCHFEBO_00060	CDS	216				hypothetical protein
FLCHFEBO_00061	CDS	522	dnaJ		COG0484	Chaperone protein DnaJ
FLCHFEBO_00062	CDS	222				hypothetical protein
