locus_tag	ftype	length_bp	gene	EC_number	COG	product
JAHKEHFN_00001	CDS	249				hypothetical protein
JAHKEHFN_00002	CDS	858				hypothetical protein
JAHKEHFN_00003	CDS	654				hypothetical protein
JAHKEHFN_00004	CDS	258	pemI			Antitoxin PemI
JAHKEHFN_00005	CDS	333	pemK	3.1.-.-		Endoribonuclease PemK
JAHKEHFN_00006	CDS	276				hypothetical protein
JAHKEHFN_00007	CDS	534				hypothetical protein
JAHKEHFN_00008	CDS	705				hypothetical protein
JAHKEHFN_00009	CDS	417	fosA	2.5.1.18		Glutathione transferase FosA
JAHKEHFN_00010	CDS	519				hypothetical protein
JAHKEHFN_00011	CDS	705				hypothetical protein
JAHKEHFN_00012	CDS	576				hypothetical protein
JAHKEHFN_00013	CDS	705				hypothetical protein
JAHKEHFN_00014	CDS	144				hypothetical protein
JAHKEHFN_00015	CDS	378				hypothetical protein
JAHKEHFN_00016	CDS	792				hypothetical protein
JAHKEHFN_00017	CDS	342				hypothetical protein
JAHKEHFN_00018	CDS	720	repE			Replication initiation protein
JAHKEHFN_00019	CDS	1107				hypothetical protein
JAHKEHFN_00020	CDS	1476	secA		COG0653	Protein translocase subunit SecA
JAHKEHFN_00021	CDS	852				hypothetical protein
JAHKEHFN_00022	CDS	528	hin_1		COG1961	DNA-invertase hin
JAHKEHFN_00023	CDS	705				hypothetical protein
JAHKEHFN_00024	CDS	576				hypothetical protein
JAHKEHFN_00025	CDS	705				hypothetical protein
JAHKEHFN_00026	CDS	402	tnpR			Transposon Tn3 resolvase
JAHKEHFN_00027	CDS	981				hypothetical protein
JAHKEHFN_00028	CDS	882	bla	3.5.2.6		Carbapenem-hydrolyzing beta-lactamase KPC
JAHKEHFN_00029	CDS	981				hypothetical protein
JAHKEHFN_00030	CDS	297				hypothetical protein
JAHKEHFN_00031	CDS	156				hypothetical protein
JAHKEHFN_00032	CDS	426	klcA			Antirestriction protein KlcA
JAHKEHFN_00033	CDS	279				hypothetical protein
JAHKEHFN_00034	CDS	561				hypothetical protein
JAHKEHFN_00035	CDS	561	hin_2		COG1961	DNA-invertase hin
JAHKEHFN_00036	CDS	960				hypothetical protein
JAHKEHFN_00037	CDS	705				hypothetical protein
JAHKEHFN_00038	CDS	1332	traD			Coupling protein TraD
JAHKEHFN_00039	CDS	5058	traI			Multifunctional conjugation protein TraI
JAHKEHFN_00040	CDS	705				hypothetical protein
JAHKEHFN_00041	CDS	396				hypothetical protein
JAHKEHFN_00042	CDS	612				hypothetical protein
JAHKEHFN_00043	CDS	951	rpnA	3.1.21.-	COG5464	Recombination-promoting nuclease RpnA
JAHKEHFN_00044	CDS	201				hypothetical protein
JAHKEHFN_00045	CDS	633	bin3			Putative transposon Tn552 DNA-invertase bin3
JAHKEHFN_00046	CDS	1206	parA			Plasmid partition protein A
JAHKEHFN_00047	CDS	972	virB		COG1475	Virulence regulon transcriptional activator VirB
JAHKEHFN_00048	CDS	1272	umuC		COG0389	Protein UmuC
JAHKEHFN_00049	CDS	423	umuD	3.4.21.-	COG1974	Protein UmuD
JAHKEHFN_00050	CDS	672	yedK	3.4.-.-	COG2135	Putative SOS response-associated peptidase YedK
JAHKEHFN_00051	CDS	678	yhdJ	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ
JAHKEHFN_00052	CDS	222				hypothetical protein
JAHKEHFN_00053	CDS	420				hypothetical protein
JAHKEHFN_00054	CDS	780				hypothetical protein
JAHKEHFN_00055	CDS	507				hypothetical protein
JAHKEHFN_00056	CDS	192				hypothetical protein
JAHKEHFN_00057	CDS	261	holE	2.7.7.7		DNA polymerase III subunit theta
JAHKEHFN_00058	CDS	153				hypothetical protein
JAHKEHFN_00059	CDS	231				hypothetical protein
JAHKEHFN_00060	CDS	663	spo0C		COG1475	Chromosome-partitioning protein Spo0J
JAHKEHFN_00061	CDS	1299				hypothetical protein
JAHKEHFN_00062	CDS	432	psiB_1			Protein PsiB
JAHKEHFN_00063	CDS	729				hypothetical protein
JAHKEHFN_00064	CDS	324				hypothetical protein
JAHKEHFN_00065	CDS	360				hypothetical protein
JAHKEHFN_00066	CDS	375				hypothetical protein
JAHKEHFN_00067	CDS	705				hypothetical protein
JAHKEHFN_00068	CDS	108	higA_1		COG5499	Antitoxin HigA
JAHKEHFN_00069	CDS	279	higA1_1		COG1396	Antitoxin HigA1
JAHKEHFN_00070	CDS	108	higA_2		COG5499	Antitoxin HigA
JAHKEHFN_00071	CDS	279	higA1_2		COG1396	Antitoxin HigA1
JAHKEHFN_00072	CDS	321				hypothetical protein
JAHKEHFN_00073	CDS	225				hypothetical protein
JAHKEHFN_00074	CDS	213				hypothetical protein
JAHKEHFN_00075	CDS	357				hypothetical protein
JAHKEHFN_00076	CDS	261				hypothetical protein
JAHKEHFN_00077	CDS	351				hypothetical protein
JAHKEHFN_00078	CDS	273				hypothetical protein
JAHKEHFN_00079	CDS	153	flmC			Protein FlmC
JAHKEHFN_00080	CDS	375				hypothetical protein
JAHKEHFN_00081	CDS	327				hypothetical protein
JAHKEHFN_00082	CDS	729				hypothetical protein
JAHKEHFN_00083	CDS	432	psiB_2			Protein PsiB
JAHKEHFN_00084	CDS	276				hypothetical protein
JAHKEHFN_00085	CDS	378				hypothetical protein
JAHKEHFN_00086	CDS	150	pndA			Protein PndA
