locus_tag	ftype	length_bp	gene	EC_number	COG	product
OGCDEIPE_00001	CDS	222				hypothetical protein
OGCDEIPE_00002	CDS	645				hypothetical protein
OGCDEIPE_00003	CDS	651				hypothetical protein
OGCDEIPE_00004	CDS	309				hypothetical protein
OGCDEIPE_00005	CDS	561	pld	3.1.4.4		Phospholipase D
OGCDEIPE_00006	CDS	858				hypothetical protein
OGCDEIPE_00007	CDS	564	proQ		COG3109	RNA chaperone ProQ
OGCDEIPE_00008	CDS	612				hypothetical protein
OGCDEIPE_00009	CDS	993				hypothetical protein
OGCDEIPE_00010	CDS	156				hypothetical protein
OGCDEIPE_00011	CDS	1716	xerD_1		COG4974	Tyrosine recombinase XerD
OGCDEIPE_00012	CDS	3030				hypothetical protein
OGCDEIPE_00013	CDS	1026				hypothetical protein
OGCDEIPE_00014	CDS	780				Insertion sequence IS5376 putative ATP-binding protein
OGCDEIPE_00015	CDS	240				hypothetical protein
OGCDEIPE_00016	CDS	882	bla_1	3.5.2.6		Carbapenem-hydrolyzing beta-lactamase KPC
OGCDEIPE_00017	CDS	1320				hypothetical protein
OGCDEIPE_00018	CDS	1185				hypothetical protein
OGCDEIPE_00019	CDS	213				hypothetical protein
OGCDEIPE_00020	CDS	360				hypothetical protein
OGCDEIPE_00021	CDS	117				hypothetical protein
OGCDEIPE_00022	CDS	360				hypothetical protein
OGCDEIPE_00023	CDS	621	bin3			Putative transposon Tn552 DNA-invertase bin3
OGCDEIPE_00024	CDS	3027				hypothetical protein
OGCDEIPE_00025	CDS	336	bla_2	3.5.2.6		Beta-lactamase OXA-18
OGCDEIPE_00026	CDS	360	bla_3	3.5.2.6		Beta-lactamase OXA-18
OGCDEIPE_00027	CDS	861	bla_4	3.5.2.6		Beta-lactamase TEM
OGCDEIPE_00028	CDS	411				hypothetical protein
OGCDEIPE_00029	CDS	1269	tnsB			Transposon Tn7 transposition protein TnsB
OGCDEIPE_00030	CDS	708			COG2200	putative signaling protein
OGCDEIPE_00031	CDS	237				hypothetical protein
OGCDEIPE_00032	CDS	363	mta		COG0789	HTH-type transcriptional activator mta
OGCDEIPE_00033	CDS	1695	merA	1.16.1.1		Mercuric reductase
OGCDEIPE_00034	CDS	423	merC			Mercuric transport protein MerC
OGCDEIPE_00035	CDS	378				hypothetical protein
OGCDEIPE_00036	CDS	276				hypothetical protein
OGCDEIPE_00037	CDS	711	recF			DNA replication and repair protein RecF
OGCDEIPE_00038	CDS	417	vapC	3.1.-.-	COG1487	tRNA(fMet)-specific endonuclease VapC
OGCDEIPE_00039	CDS	231	vapB		COG4456	Antitoxin VapB
OGCDEIPE_00040	CDS	252				hypothetical protein
OGCDEIPE_00041	CDS	309				hypothetical protein
OGCDEIPE_00042	CDS	330				hypothetical protein
OGCDEIPE_00043	CDS	399				hypothetical protein
OGCDEIPE_00044	CDS	333				hypothetical protein
OGCDEIPE_00045	CDS	783	xerD_2		COG4974	Tyrosine recombinase XerD
OGCDEIPE_00046	CDS	249				hypothetical protein
OGCDEIPE_00047	CDS	474				hypothetical protein
OGCDEIPE_00048	CDS	1269				hypothetical protein
OGCDEIPE_00049	CDS	3258	hsdR	3.1.21.3		Type-1 restriction enzyme R protein
OGCDEIPE_00050	CDS	1317				hypothetical protein
OGCDEIPE_00051	CDS	2028	hsdM	2.1.1.72	COG0286	Type I restriction enzyme EcoKI M protein
OGCDEIPE_00052	CDS	174				hypothetical protein
OGCDEIPE_00053	CDS	333				hypothetical protein
OGCDEIPE_00054	CDS	975	virB		COG1475	Virulence regulon transcriptional activator VirB
OGCDEIPE_00055	CDS	1206	parA			Plasmid partition protein A
OGCDEIPE_00056	CDS	897	repA			Replication protein RepA
OGCDEIPE_00057	CDS	1272	umuC		COG0389	Protein UmuC
OGCDEIPE_00058	CDS	432	umuD	3.4.21.-	COG1974	Protein UmuD
OGCDEIPE_00059	CDS	972	parM			Plasmid segregation protein ParM
OGCDEIPE_00060	CDS	672				hypothetical protein
OGCDEIPE_00061	CDS	231				hypothetical protein
OGCDEIPE_00062	CDS	702	yhdJ	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ
OGCDEIPE_00063	CDS	222				hypothetical protein
OGCDEIPE_00064	CDS	420				hypothetical protein
OGCDEIPE_00065	CDS	768				hypothetical protein
OGCDEIPE_00066	CDS	429	klcA			Antirestriction protein KlcA
OGCDEIPE_00067	CDS	507				hypothetical protein
OGCDEIPE_00068	CDS	192				hypothetical protein
OGCDEIPE_00069	CDS	255	holE	2.7.7.7		DNA polymerase III subunit theta
OGCDEIPE_00070	CDS	318				hypothetical protein
OGCDEIPE_00071	CDS	177				hypothetical protein
OGCDEIPE_00072	CDS	228				hypothetical protein
OGCDEIPE_00073	CDS	231				hypothetical protein
OGCDEIPE_00074	CDS	1356				hypothetical protein
OGCDEIPE_00075	CDS	564				hypothetical protein
OGCDEIPE_00076	CDS	321				hypothetical protein
OGCDEIPE_00077	CDS	513	ssb		COG0629	Single-stranded DNA-binding protein
OGCDEIPE_00078	CDS	243				hypothetical protein
OGCDEIPE_00079	CDS	2010	spo0C		COG1475	Chromosome-partitioning protein Spo0J
OGCDEIPE_00080	CDS	432	psiB			Protein PsiB
OGCDEIPE_00081	CDS	723				hypothetical protein
