locus_tag	ftype	length_bp	gene	EC_number	COG	product
DHJDANCP_00001	CDS	564	proQ		COG3109	RNA chaperone ProQ
DHJDANCP_00002	CDS	612				hypothetical protein
DHJDANCP_00003	CDS	162				hypothetical protein
DHJDANCP_00004	CDS	993				hypothetical protein
DHJDANCP_00005	CDS	156				hypothetical protein
DHJDANCP_00006	CDS	1716	xerD		COG4974	Tyrosine recombinase XerD
DHJDANCP_00007	CDS	3030				hypothetical protein
DHJDANCP_00008	CDS	1026				hypothetical protein
DHJDANCP_00009	CDS	780				Insertion sequence IS5376 putative ATP-binding protein
DHJDANCP_00010	CDS	882	bla	3.5.2.6		Carbapenem-hydrolyzing beta-lactamase KPC
DHJDANCP_00011	CDS	1320				hypothetical protein
