locus_tag	ftype	length_bp	gene	EC_number	COG	product
GMEBKMMJ_00001	CDS	858				hypothetical protein
GMEBKMMJ_00002	CDS	564	proQ		COG3109	RNA chaperone ProQ
GMEBKMMJ_00003	CDS	612				hypothetical protein
GMEBKMMJ_00004	CDS	162				hypothetical protein
GMEBKMMJ_00005	CDS	993				hypothetical protein
GMEBKMMJ_00006	CDS	156				hypothetical protein
GMEBKMMJ_00007	CDS	1716	xerD		COG4974	Tyrosine recombinase XerD
GMEBKMMJ_00008	CDS	3030				hypothetical protein
GMEBKMMJ_00009	CDS	1026				hypothetical protein
GMEBKMMJ_00010	CDS	780				Insertion sequence IS5376 putative ATP-binding protein
GMEBKMMJ_00011	CDS	882	bla	3.5.2.6		Carbapenem-hydrolyzing beta-lactamase KPC
GMEBKMMJ_00012	CDS	1320				hypothetical protein
GMEBKMMJ_00013	CDS	1185				hypothetical protein
GMEBKMMJ_00014	CDS	213				hypothetical protein
GMEBKMMJ_00015	CDS	360				hypothetical protein
GMEBKMMJ_00016	CDS	360				hypothetical protein
GMEBKMMJ_00017	CDS	621	bin3			Putative transposon Tn552 DNA-invertase bin3
GMEBKMMJ_00018	CDS	927				hypothetical protein
GMEBKMMJ_00019	CDS	780				hypothetical protein
