locus_tag	ftype	length_bp	gene	EC_number	COG	product
MHLKJHLE_00001	CDS	249				hypothetical protein
MHLKJHLE_00002	CDS	858				hypothetical protein
MHLKJHLE_00003	CDS	570				hypothetical protein
MHLKJHLE_00004	CDS	258	pemI			Antitoxin PemI
MHLKJHLE_00005	CDS	333	pemK	3.1.-.-		Endoribonuclease PemK
MHLKJHLE_00006	CDS	276				hypothetical protein
MHLKJHLE_00007	CDS	534				hypothetical protein
MHLKJHLE_00008	CDS	705				hypothetical protein
MHLKJHLE_00009	CDS	783				hypothetical protein
MHLKJHLE_00010	CDS	192				hypothetical protein
MHLKJHLE_00011	CDS	423				hypothetical protein
MHLKJHLE_00012	CDS	426	klcA_1			Antirestriction protein KlcA
MHLKJHLE_00013	CDS	828				hypothetical protein
MHLKJHLE_00014	CDS	435				hypothetical protein
MHLKJHLE_00015	CDS	222				hypothetical protein
MHLKJHLE_00016	CDS	684	yhdJ_1	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ
MHLKJHLE_00017	CDS	963	parM_1			Plasmid segregation protein ParM
MHLKJHLE_00018	CDS	354	stbB			Protein StbB
MHLKJHLE_00019	CDS	282				hypothetical protein
MHLKJHLE_00020	CDS	237				hypothetical protein
MHLKJHLE_00021	CDS	705				hypothetical protein
MHLKJHLE_00022	CDS	282				hypothetical protein
MHLKJHLE_00023	CDS	756	rmtB	2.1.1.179		16S rRNA (guanine(1405)-N(7))-methyltransferase
MHLKJHLE_00024	CDS	861	bla_1	3.5.2.6		Beta-lactamase TEM
MHLKJHLE_00025	CDS	516	tnpR_1			Transposon Tn3 resolvase
MHLKJHLE_00026	CDS	189				hypothetical protein
MHLKJHLE_00027	CDS	723				hypothetical protein
MHLKJHLE_00028	CDS	705				hypothetical protein
MHLKJHLE_00029	CDS	417	fosA	2.5.1.18		Glutathione transferase FosA
MHLKJHLE_00030	CDS	519				hypothetical protein
MHLKJHLE_00031	CDS	705				hypothetical protein
MHLKJHLE_00032	CDS	576				hypothetical protein
MHLKJHLE_00033	CDS	705				hypothetical protein
MHLKJHLE_00034	CDS	1026	fiu		COG4774	Catecholate siderophore receptor Fiu
MHLKJHLE_00035	CDS	969				hypothetical protein
MHLKJHLE_00036	CDS	876	bla_2	3.5.2.6		Beta-lactamase Toho-1
MHLKJHLE_00037	CDS	123				hypothetical protein
MHLKJHLE_00038	CDS	705				hypothetical protein
MHLKJHLE_00039	CDS	951	ltrA_1		COG3344	Group II intron-encoded protein LtrA
MHLKJHLE_00040	CDS	258				hypothetical protein
MHLKJHLE_00041	CDS	231				hypothetical protein
MHLKJHLE_00042	CDS	1362				hypothetical protein
MHLKJHLE_00043	CDS	564	rsmA	2.1.1.-		Ribosomal RNA small subunit methyltransferase A
MHLKJHLE_00044	CDS	456				hypothetical protein
MHLKJHLE_00045	CDS	237				hypothetical protein
MHLKJHLE_00046	CDS	528	ssb_1			Plasmid-derived single-stranded DNA-binding protein
MHLKJHLE_00047	CDS	234				hypothetical protein
MHLKJHLE_00048	CDS	1422	spo0C		COG1475	Chromosome-partitioning protein Spo0J
MHLKJHLE_00049	CDS	576				hypothetical protein
MHLKJHLE_00050	CDS	435	psiB_1			Protein PsiB
MHLKJHLE_00051	CDS	720				hypothetical protein
MHLKJHLE_00052	CDS	216				hypothetical protein
MHLKJHLE_00053	CDS	159	flmA_1			Stable plasmid inheritance protein
MHLKJHLE_00054	CDS	378				hypothetical protein
MHLKJHLE_00055	CDS	237				hypothetical protein
MHLKJHLE_00056	CDS	297				hypothetical protein
MHLKJHLE_00057	CDS	822				hypothetical protein
MHLKJHLE_00058	CDS	648				hypothetical protein
MHLKJHLE_00059	CDS	384	traM_1			Relaxosome protein TraM
MHLKJHLE_00060	CDS	687	traJ_1			Protein TraJ
MHLKJHLE_00061	CDS	228	traY			Relaxosome protein TraY
MHLKJHLE_00062	CDS	366	traA_1			Pilin
MHLKJHLE_00063	CDS	312				hypothetical protein
MHLKJHLE_00064	CDS	567				hypothetical protein
MHLKJHLE_00065	CDS	729				hypothetical protein
