locus_tag	ftype	length_bp	gene	EC_number	COG	product
KOHJALGE_00001	CDS	405				hypothetical protein
KOHJALGE_00002	CDS	339				hypothetical protein
KOHJALGE_00003	CDS	153				hypothetical protein
KOHJALGE_00004	CDS	150				hypothetical protein
KOHJALGE_00005	CDS	246				hypothetical protein
KOHJALGE_00006	CDS	228				hypothetical protein
KOHJALGE_00007	CDS	564				hypothetical protein
KOHJALGE_00008	CDS	156				hypothetical protein
KOHJALGE_00009	CDS	216	psiB_1			Protein PsiB
KOHJALGE_00010	CDS	177				hypothetical protein
KOHJALGE_00011	CDS	396				hypothetical protein
KOHJALGE_00012	CDS	321				hypothetical protein
KOHJALGE_00013	CDS	204				hypothetical protein
KOHJALGE_00014	CDS	183				hypothetical protein
KOHJALGE_00015	CDS	174				hypothetical protein
KOHJALGE_00016	CDS	261				hypothetical protein
KOHJALGE_00017	CDS	228				hypothetical protein
KOHJALGE_00018	CDS	372				hypothetical protein
KOHJALGE_00019	CDS	210				hypothetical protein
KOHJALGE_00020	CDS	204				hypothetical protein
KOHJALGE_00021	CDS	273				hypothetical protein
KOHJALGE_00022	CDS	258				hypothetical protein
KOHJALGE_00023	CDS	381				hypothetical protein
KOHJALGE_00024	CDS	153				hypothetical protein
KOHJALGE_00025	CDS	165				hypothetical protein
KOHJALGE_00026	CDS	246				hypothetical protein
KOHJALGE_00027	CDS	156				hypothetical protein
KOHJALGE_00028	CDS	612				hypothetical protein
KOHJALGE_00029	CDS	324				hypothetical protein
KOHJALGE_00030	CDS	210				hypothetical protein
KOHJALGE_00031	CDS	396				hypothetical protein
KOHJALGE_00032	CDS	258				hypothetical protein
KOHJALGE_00033	CDS	201				hypothetical protein
KOHJALGE_00034	CDS	387				hypothetical protein
KOHJALGE_00035	CDS	525	parM_1			Plasmid segregation protein ParM
KOHJALGE_00036	CDS	372	umuD_1	3.4.21.-	COG1974	Protein UmuD
KOHJALGE_00037	CDS	201	umuC_1		COG0389	Protein UmuC
KOHJALGE_00038	CDS	378				hypothetical protein
KOHJALGE_00039	CDS	216	umuC_2		COG0389	Protein UmuC
